image,true_class,norm_pred_class,norm_conf,baseline_pred_class,baseline_conf,lighting_condition,color_cast
1dad664e-ec73-474e-aaf9-a832ca212e3f___RS_Erly.B 7533.JPG,tomato_Early blight,tomato_Late blight,0.994576096534729,tomato_Late blight,0.9620969295501709,diffuse_cloudy_optimal,neutral
1de17623-e625-4a3a-91e8-64973e6d09fd___RS_Erly.B 9577.JPG,tomato_Early blight,tomato_Late blight,0.62717205286026,tomato_Early blight,0.9889946579933167,standard_field_lighting,neutral
1e08cf06-c20b-47bc-8773-a22cc730aa04___RS_Erly.B 8228.JPG,tomato_Early blight,tomato_Late blight,0.8359512090682983,tomato_Early blight,0.7639760375022888,standard_field_lighting,neutral
1e08cf06-c20b-47bc-8773-a22cc730aa04___RS_Erly.B 8228_final_masked.jpg,tomato_Early blight,tomato_healthy,0.7439610362052917,tomato_Late blight,0.5991755723953247,low_light_or_heavy_shadow,neutral
20a276c8-90b5-475f-811b-1d63f34f1c10___RS_Erly.B 9551.JPG,tomato_Early blight,tomato_Late blight,0.5250614881515503,tomato_Early blight,0.9998904466629028,standard_field_lighting,neutral
2179421c-3ce3-4581-8b65-17da6fffd3db___RS_Erly.B 7730.JPG,tomato_Early blight,tomato_healthy,0.9788929224014282,tomato_Late blight,0.5798439979553223,standard_field_lighting,neutral
2179421c-3ce3-4581-8b65-17da6fffd3db___RS_Erly.B 7730_final_masked.jpg,tomato_Early blight,tomato_healthy,0.9987473487854004,tomato_Early blight,0.7271100282669067,low_light_or_heavy_shadow,neutral
22247648-1650-43d5-8a9b-e03f63cf2f1c___RS_Erly.B 7535.JPG,tomato_Early blight,tomato_Late blight,0.900084376335144,tomato_Early blight,0.7763692140579224,standard_field_lighting,neutral
22faea13-4b3e-4d87-b80c-379755a7b747___RS_Erly.B 7852.JPG,tomato_Early blight,tomato_healthy,0.8412827849388123,tomato_Early blight,0.9255052208900452,standard_field_lighting,neutral
22faea13-4b3e-4d87-b80c-379755a7b747___RS_Erly.B 7852_final_masked.jpg,tomato_Early blight,tomato_healthy,0.8851436972618103,tomato_Late blight,0.5024557709693909,low_light_or_heavy_shadow,neutral
2312305e-c167-4730-a07a-db5c9956077a___RS_Erly.B 7752.JPG,tomato_Early blight,tomato_healthy,0.9998847246170044,tomato_Early blight,0.7559396028518677,standard_field_lighting,neutral
23e8ae15-6cfc-4518-9266-3a289a7bced7___RS_Erly.B 6479.JPG,tomato_Early blight,tomato_Late blight,0.6982216238975525,tomato_Early blight,0.9945787191390991,standard_field_lighting,neutral
23e8ae15-6cfc-4518-9266-3a289a7bced7___RS_Erly.B 6479_final_masked.jpg,tomato_Early blight,tomato_Late blight,0.6204862594604492,tomato_Early blight,0.9887711405754089,low_light_or_heavy_shadow,neutral
2419fd79-cda0-4ba4-be14-31c92a2e91dd___RS_Erly.B 8255.JPG,tomato_Early blight,tomato_Late blight,0.9971574544906616,tomato_Late blight,0.9882742166519165,standard_field_lighting,neutral
248a61d1-ed39-452b-b985-77120c1edc7a___RS_Erly.B 7669.JPG,tomato_Early blight,tomato_Late blight,0.6316061019897461,tomato_Early blight,0.8355321288108826,diffuse_cloudy_optimal,neutral
248a61d1-ed39-452b-b985-77120c1edc7a___RS_Erly.B 7669_final_masked.jpg,tomato_Early blight,tomato_healthy,0.6039448380470276,tomato_Late blight,0.5738242268562317,low_light_or_heavy_shadow,neutral
248f220e-56ac-43f1-8f17-641ed4637138___RS_Erly.B 7802_final_masked.jpg,tomato_Early blight,tomato_healthy,0.7422397136688232,tomato_Early blight,0.8955615758895874,low_light_or_heavy_shadow,neutral
250f6c43-1800-4c21-9d73-cc51fe144bbc___RS_Erly.B 6356.JPG,tomato_Early blight,tomato_Late blight,0.504055380821228,tomato_Early blight,0.9955690503120422,standard_field_lighting,neutral
2586a260-ecf6-40e8-aa11-4b8a50845575___RS_Erly.B 7833.JPG,tomato_Early blight,tomato_healthy,0.99741131067276,tomato_Late blight,0.5021987557411194,standard_field_lighting,neutral
2586a260-ecf6-40e8-aa11-4b8a50845575___RS_Erly.B 7833_final_masked.jpg,tomato_Early blight,tomato_healthy,0.8644865155220032,tomato_Early blight,0.7940083146095276,low_light_or_heavy_shadow,neutral
2763c9bc-ecc6-4f1a-86a7-ef8ffa370420___RS_Erly.B 8422.JPG,tomato_Early blight,tomato_Late blight,0.9217774271965027,tomato_Late blight,0.9914113283157349,standard_field_lighting,neutral
2840c2f1-b901-41c2-8d0c-7827bc7f8ab3___RS_Erly.B 9574.JPG,tomato_Early blight,tomato_Late blight,0.9868850708007812,tomato_Late blight,0.8480271100997925,standard_field_lighting,neutral
2840c2f1-b901-41c2-8d0c-7827bc7f8ab3___RS_Erly.B 9574_final_masked.jpg,tomato_Early blight,tomato_healthy,0.7210270762443542,tomato_Late blight,0.9565226435661316,low_light_or_heavy_shadow,neutral
289ba10b-f518-445a-8c54-cc981e2ffe34___RS_Erly.B 7399_final_masked.jpg,tomato_Early blight,tomato_Late blight,0.5416879057884216,tomato_Late blight,0.8465207815170288,low_light_or_heavy_shadow,neutral
29645def-a571-4442-8f95-d7ebf71befde___RS_Erly.B 7751.JPG,tomato_Early blight,tomato_healthy,0.9928654432296753,tomato_Early blight,0.9870554208755493,standard_field_lighting,neutral
29645def-a571-4442-8f95-d7ebf71befde___RS_Erly.B 7751_final_masked.jpg,tomato_Early blight,tomato_healthy,0.9603129029273987,tomato_Early blight,0.9991863369941711,low_light_or_heavy_shadow,neutral
2998c7f2-9f4f-4734-aa39-403dd7211869___RS_Erly.B 7528_final_masked.jpg,tomato_Early blight,tomato_healthy,0.6991623640060425,tomato_Early blight,0.9999915361404419,low_light_or_heavy_shadow,neutral
29fb6588-a368-4143-9cdd-8a131f0d50f4___RS_Erly.B 7779.JPG,tomato_Early blight,tomato_healthy,0.955414354801178,tomato_Early blight,0.8014086484909058,standard_field_lighting,neutral
2ab7f21e-4a55-4895-acdb-5f161167a0f1___RS_Erly.B 8318.JPG,tomato_Early blight,tomato_Late blight,0.8919379115104675,tomato_Late blight,0.9824889898300171,standard_field_lighting,warm_evening_or_indoor
2b7c8b0d-d906-4c93-9dc4-554ae46a3ec3___RS_Erly.B 7825.JPG,tomato_Early blight,tomato_Late blight,0.8653776049613953,tomato_Late blight,0.6791777014732361,standard_field_lighting,neutral
2bdecb58-7e31-4129-83ff-125b7a31c0f6___RS_Erly.B 9506.JPG,tomato_Early blight,tomato_Late blight,0.7304935455322266,tomato_Late blight,0.8177109360694885,standard_field_lighting,neutral
2e7b090e-4fc6-42f2-8bf6-3f84b32712e5___RS_Erly.B 7470.JPG,tomato_Early blight,tomato_Late blight,0.9054157137870789,tomato_Late blight,0.982232928276062,standard_field_lighting,neutral
2efd143b-619d-455d-9b16-95536cad01e3___RS_Erly.B 7780.JPG,tomato_Early blight,tomato_healthy,0.9717341661453247,tomato_Early blight,0.9953633546829224,standard_field_lighting,neutral
2efd143b-619d-455d-9b16-95536cad01e3___RS_Erly.B 7780_final_masked.jpg,tomato_Early blight,tomato_healthy,0.5136776566505432,tomato_Early blight,0.998362123966217,low_light_or_heavy_shadow,neutral
3069555f-45e9-4208-bc5e-015ce47e34e2___RS_Erly.B 7663_final_masked.jpg,tomato_Early blight,tomato_healthy,0.8460971117019653,tomato_Early blight,0.9979158043861389,low_light_or_heavy_shadow,neutral
3253ff4e-90ab-475a-89d2-f99875c53367___RS_Erly.B 8356.JPG,tomato_Early blight,tomato_healthy,0.7322570085525513,tomato_Early blight,0.8262496590614319,standard_field_lighting,neutral
3253ff4e-90ab-475a-89d2-f99875c53367___RS_Erly.B 8356_final_masked.jpg,tomato_Early blight,tomato_healthy,0.9140281677246094,tomato_Early blight,0.7735162973403931,low_light_or_heavy_shadow,neutral
32e59188-5c46-4369-8991-5acfa253263b___RS_Erly.B 7781_final_masked.jpg,tomato_Early blight,tomato_healthy,0.9840684533119202,tomato_Early blight,0.9999055862426758,low_light_or_heavy_shadow,neutral
33cd99f1-1f8a-497b-b4fc-60ff78af4b8a___RS_Erly.B 8378.JPG,tomato_Early blight,tomato_Late blight,0.965776801109314,tomato_Late blight,0.6206419467926025,standard_field_lighting,warm_evening_or_indoor
33cd99f1-1f8a-497b-b4fc-60ff78af4b8a___RS_Erly.B 8378_final_masked.jpg,tomato_Early blight,tomato_Late blight,0.7319344282150269,tomato_Early blight,0.8340147733688354,low_light_or_heavy_shadow,neutral
34044338-c693-4604-8764-35eaece11e56___RS_Erly.B 9483_final_masked.jpg,tomato_Early blight,tomato_healthy,0.9841299057006836,tomato_healthy,0.5659588575363159,low_light_or_heavy_shadow,neutral
347120f8-e92d-43f7-9ace-196890cec04d___RS_Erly.B 9421.JPG,tomato_Early blight,tomato_Late blight,0.5282945036888123,tomato_Late blight,0.6023633480072021,standard_field_lighting,neutral
36c17d6d-9e00-4e7c-bf14-eaadb64b508d___RS_Erly.B 7641_final_masked.jpg,tomato_Early blight,tomato_healthy,0.9983776807785034,tomato_Early blight,0.7225362062454224,low_light_or_heavy_shadow,neutral
3726eff6-547d-411e-bc00-f8b533d067e3___RS_Erly.B 6494.JPG,tomato_Early blight,tomato_Late blight,0.8520710468292236,tomato_Early blight,0.9994470477104187,standard_field_lighting,neutral
3754ec0a-13b7-40c5-9839-b7499b6c365b___RS_Erly.B 7449.JPG,tomato_Early blight,tomato_healthy,0.37333884835243225,tomato_Early blight,0.9537106156349182,standard_field_lighting,neutral
3754ec0a-13b7-40c5-9839-b7499b6c365b___RS_Erly.B 7449_final_masked.jpg,tomato_Early blight,tomato_healthy,0.9498833417892456,tomato_healthy,0.6543871164321899,low_light_or_heavy_shadow,neutral
38685009-d6e6-4b3a-9957-bf049a210cda___RS_Erly.B 7606.JPG,tomato_Early blight,tomato_Late blight,0.8152696490287781,tomato_Early blight,0.9796283841133118,standard_field_lighting,neutral
389a93c4-2ea1-4df5-94c6-01ea8ad856db___RS_Erly.B 7720.JPG,tomato_Early blight,tomato_healthy,0.9944624304771423,tomato_Early blight,0.9291105270385742,standard_field_lighting,neutral
389a93c4-2ea1-4df5-94c6-01ea8ad856db___RS_Erly.B 7720_final_masked.jpg,tomato_Early blight,tomato_healthy,0.9511843323707581,tomato_Early blight,0.9926243424415588,low_light_or_heavy_shadow,neutral
3a634ad7-1119-4ea1-9268-bedc8308fdc8___RS_Erly.B 7841.JPG,tomato_Early blight,tomato_Late blight,0.5618451833724976,tomato_Early blight,0.645488977432251,standard_field_lighting,neutral
3a634ad7-1119-4ea1-9268-bedc8308fdc8___RS_Erly.B 7841_final_masked.jpg,tomato_Early blight,tomato_healthy,0.8247047662734985,tomato_Early blight,0.9538199305534363,low_light_or_heavy_shadow,neutral
3a7c19c6-a86d-4127-b00e-600cb0244ac4___RS_Erly.B 6415.JPG,tomato_Early blight,tomato_Late blight,0.9951540231704712,tomato_Early blight,0.7193694710731506,standard_field_lighting,neutral
0003faa8-4b27-4c65-bf42-6d9e352ca1a5___RS_Late.B 4946_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.608779788017273,tomato_Late blight,0.99986732006073,low_light_or_heavy_shadow,neutral
008ebb44-eb77-4843-b621-4b88b5df7d43___RS_Late.B 5188_final_masked.jpg,tomato_Late blight,tomato_healthy,0.4966098964214325,tomato_Late blight,0.9735971093177795,low_light_or_heavy_shadow,neutral
013f987a-9371-4763-a104-ea6f326e584b___GHLB2 Leaf 8556.JPG,tomato_Late blight,tomato_Early blight,0.7746725082397461,tomato_Late blight,0.9988133907318115,diffuse_cloudy_optimal,neutral
013f987a-9371-4763-a104-ea6f326e584b___GHLB2 Leaf 8556_final_masked.jpg,tomato_Late blight,tomato_healthy,0.998178243637085,tomato_Late blight,0.97802734375,low_light_or_heavy_shadow,neutral
01425d17-4c97-46e3-b395-c1453b78ab78___GHLB2 Leaf 9100_final_masked.jpg,tomato_Late blight,tomato_healthy,0.8214196562767029,tomato_Late blight,0.9996298551559448,low_light_or_heavy_shadow,neutral
01527fac-41e4-484c-af41-1ed7bc3b5ce6___RS_Late.B 6134_final_masked.jpg,tomato_Late blight,tomato_healthy,0.6027358174324036,tomato_Late blight,0.9943404197692871,low_light_or_heavy_shadow,neutral
017a9839-6097-45aa-85b0-3051db151484___RS_Late.B 5125_final_masked.jpg,tomato_Late blight,tomato_healthy,0.9416539072990417,tomato_Late blight,0.9939082860946655,low_light_or_heavy_shadow,neutral
01a68044-9c5b-4658-a944-6108c6862ce7___GHLB Leaf 2.1 Day 16_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.5228247046470642,tomato_Late blight,0.9841379523277283,low_light_or_heavy_shadow,neutral
01cd2d73-c741-45a5-9610-a2cea2266b80___GHLB2 Leaf 121_final_masked.jpg,tomato_Late blight,tomato_healthy,0.6697317361831665,tomato_Late blight,0.9995027780532837,low_light_or_heavy_shadow,neutral
023315df-8824-4760-9480-4dca3a023931___GHLB2 Leaf 8719_final_masked.jpg,tomato_Late blight,tomato_healthy,0.5308295488357544,tomato_Late blight,0.9997898936271667,low_light_or_heavy_shadow,neutral
024dc5bb-7990-4256-b2b4-a8495b71cbd4___RS_Late.B 6064_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.6677167415618896,tomato_Late blight,0.987011194229126,low_light_or_heavy_shadow,neutral
031ab3ab-02f4-4397-9886-54345461580d___RS_Late.B 6654_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.755808413028717,tomato_Late blight,0.9999098777770996,low_light_or_heavy_shadow,warm_evening_or_indoor
0334d40b-d880-442f-a7db-e5c85a2e0bed___RS_Late.B 6367_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.6475920081138611,tomato_Late blight,0.9999971389770508,low_light_or_heavy_shadow,neutral
039e5d57-64e2-41de-8ccf-e44598bcedb0___RS_Late.B 6883.JPG,tomato_Late blight,tomato_Early blight,0.8709489703178406,tomato_Early blight,0.9008759260177612,bright_direct_sunlight,warm_evening_or_indoor
03a15d38-e1b5-4586-b763-2bad2d268290___RS_Late.B 5207_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.552752673625946,tomato_Late blight,0.9253014326095581,low_light_or_heavy_shadow,neutral
03e8a2f9-6a7e-43dd-8a1b-3eb7cf99b89b___RS_Late.B 5034_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.7630400061607361,tomato_Late blight,0.9985743761062622,low_light_or_heavy_shadow,neutral
048eddf2-6142-4031-b23a-654cc3803d01___RS_Late.B 6097_final_masked.jpg,tomato_Late blight,tomato_healthy,0.9813366532325745,tomato_Late blight,0.8446791172027588,low_light_or_heavy_shadow,neutral
049dbcab-de65-4f09-9b1b-e59886f56f2e___RS_Late.B 5141_final_masked.jpg,tomato_Late blight,tomato_healthy,0.9211898446083069,tomato_Late blight,0.9996387958526611,low_light_or_heavy_shadow,neutral
0566e4e3-675b-4289-9e36-ad199448975b___GHLB2 Leaf 161.2_final_masked.jpg,tomato_Late blight,tomato_healthy,0.9924267530441284,tomato_Late blight,0.8104329109191895,low_light_or_heavy_shadow,neutral
05b90bad-941f-499f-a2f6-a88e54c1da85___GHLB2 Leaf 155.2_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.5547544360160828,tomato_Late blight,0.9989087581634521,low_light_or_heavy_shadow,neutral
067fa506-1859-485a-9a17-53aaf0e8b1c3___RS_Late.B 6641_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.9247704148292542,tomato_Late blight,0.979914128780365,low_light_or_heavy_shadow,warm_evening_or_indoor
06913075-dad1-4047-b5a2-74fe680efa3b___RS_Late.B 6048_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.4932730793952942,tomato_Late blight,0.9989644289016724,low_light_or_heavy_shadow,neutral
06a7cfd9-0992-4020-8a11-79249d657c0c___GHLB2 Leaf 131_final_masked.jpg,tomato_Late blight,tomato_healthy,0.5537513494491577,tomato_Late blight,0.989319384098053,low_light_or_heavy_shadow,neutral
06b911b8-1375-4da1-929c-2294c4051ece___GHLB2 Leaf 8883_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.718028724193573,tomato_Late blight,0.9971479773521423,low_light_or_heavy_shadow,neutral
077c04cc-184d-4efd-bbc3-093cd61bedef___RS_Late.B 5560_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.9996039271354675,tomato_Early blight,0.8320650458335876,low_light_or_heavy_shadow,neutral
07897854-c2ab-465b-8cf7-a134b6066a1c___GHLB Leaf 1.1 Day 6.JPG,tomato_Late blight,tomato_healthy,0.8206299543380737,tomato_healthy,0.7245567440986633,standard_field_lighting,neutral
07897854-c2ab-465b-8cf7-a134b6066a1c___GHLB Leaf 1.1 Day 6_final_masked.jpg,tomato_Late blight,tomato_healthy,0.9999972581863403,tomato_healthy,0.985195517539978,low_light_or_heavy_shadow,neutral
07b42bb5-9f6c-43bc-9bbe-e4b127d84cb6___GHLB Leaf 18.1 Day 8_final_masked.jpg,tomato_Late blight,tomato_healthy,0.5571756958961487,tomato_Late blight,0.9999802112579346,low_light_or_heavy_shadow,neutral
07c7f8bf-5f9c-4b94-bea8-c549866e206e___GHLB2 Leaf 101.2_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.6622614860534668,tomato_Late blight,0.9999656677246094,low_light_or_heavy_shadow,neutral
07cca2ca-6b0f-4322-8779-beb94bc219b0___RS_Late.B 6037_final_masked.jpg,tomato_Late blight,tomato_healthy,0.83913654088974,tomato_Late blight,0.8886890411376953,low_light_or_heavy_shadow,neutral
07eb29e8-112d-4bcb-8b65-aba4b4307f2a___RS_Late.B 6907_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.813284158706665,tomato_Late blight,0.9408033490180969,low_light_or_heavy_shadow,neutral
081d1e25-3f06-46a1-95ef-d10a62faa80f___GHLB2 Leaf 8600_final_masked.jpg,tomato_Late blight,tomato_healthy,0.9249487519264221,tomato_Late blight,0.9900863766670227,low_light_or_heavy_shadow,neutral
08816f81-65f4-4372-84e8-d27b67a193d5___GHLB2 Leaf 152_final_masked.jpg,tomato_Late blight,tomato_healthy,0.5108014345169067,tomato_Late blight,0.9942166805267334,low_light_or_heavy_shadow,neutral
0893ac69-4004-4577-b4aa-496983116208___GHLB2 Leaf 8738_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.8937217593193054,tomato_Late blight,0.876925528049469,low_light_or_heavy_shadow,neutral
08a94695-4566-49aa-84df-91980c3534a2___RS_Late.B 5396_final_masked.jpg,tomato_Late blight,tomato_healthy,0.9588307738304138,tomato_Late blight,0.9940999150276184,low_light_or_heavy_shadow,neutral
08c1db4d-e947-4499-beff-ed2d8025d725___RS_Late.B 6113.JPG,tomato_Late blight,tomato_healthy,0.91172194480896,tomato_Late blight,0.822735607624054,standard_field_lighting,neutral
