Image ID,Test Condition,True Class,Predicted Class,Correct,Confidence,Leaf Pixels,Activated Pixels,Affected Region %,Weighted Activation,Health Score,Severity,Image Quality Passed,Failure Type
3592b22c-09cd-4005-97c4-cdd11318cce0___RS_Erly.B 9391.JPG,E. Overexposed,tomato_Early blight,tomato_Early blight,True,0.9989,24676,14998,60.78,0.6225,33,Severe,True,None
3592b22c-09cd-4005-97c4-cdd11318cce0___RS_Erly.B 9391.JPG,F. Uneven Lighting,tomato_Early blight,tomato_Early blight,True,0.8177,34274,10533,30.73,0.4019,51,Moderate,True,None
3592b22c-09cd-4005-97c4-cdd11318cce0___RS_Erly.B 9391.JPG,H. Partial Leaf,tomato_Early blight,tomato_Early blight,True,0.5371,41104,3674,8.94,0.2524,67,Moderate,True,Low-confidence correct (Warning)
3592b22c-09cd-4005-97c4-cdd11318cce0___RS_Erly.B 9391.JPG,I. Rotated,tomato_Early blight,tomato_Early blight,True,0.8056,25958,6291,24.24,0.3558,54,Moderate,True,None
3592b22c-09cd-4005-97c4-cdd11318cce0___RS_Erly.B 9391.JPG,K. Small Portion,tomato_Early blight,tomato_Early blight,True,0.6103,50176,17751,35.38,0.4631,48,Moderate,True,Low-confidence correct (Warning)
0e03c87e-b43f-4cfe-a837-71306c68f4c0___RS_Erly.B 7733.JPG,A. Normal,tomato_Early blight,tomato_Early blight,True,0.5093,24423,5724,23.44,0.3794,53,Moderate,True,Low-confidence correct (Warning)
0e03c87e-b43f-4cfe-a837-71306c68f4c0___RS_Erly.B 7733.JPG,B. Low-Resolution,tomato_Early blight,tomato_healthy,False,0.8959,24425,4243,17.37,0.3223,98,Healthy,False,High-confidence error
0e03c87e-b43f-4cfe-a837-71306c68f4c0___RS_Erly.B 7733.JPG,C. Slightly Blurred,tomato_Early blight,tomato_Early blight,True,0.9618,24370,4871,19.99,0.2929,58,Moderate,False,None
0e03c87e-b43f-4cfe-a837-71306c68f4c0___RS_Erly.B 7733.JPG,D. Dark,tomato_Early blight,tomato_Early blight,True,0.6638,23412,9130,39.0,0.5012,47,Moderate,True,None
0e03c87e-b43f-4cfe-a837-71306c68f4c0___RS_Erly.B 7733.JPG,E. Overexposed,tomato_Early blight,tomato_Early blight,True,0.9967,24406,10962,44.92,0.5121,43,Moderate,True,None
0e03c87e-b43f-4cfe-a837-71306c68f4c0___RS_Erly.B 7733.JPG,F. Uneven Lighting,tomato_Early blight,tomato_Early blight,True,0.709,38079,7093,18.63,0.2961,60,Moderate,True,None
0e03c87e-b43f-4cfe-a837-71306c68f4c0___RS_Erly.B 7733.JPG,H. Partial Leaf,tomato_Early blight,tomato_Late blight,False,0.4334,35732,1555,4.35,0.1388,68,Moderate,True,Low-confidence correct rejection
0e03c87e-b43f-4cfe-a837-71306c68f4c0___RS_Erly.B 7733.JPG,I. Rotated,tomato_Early blight,tomato_healthy,False,0.8454,24477,9241,37.75,0.4639,98,Healthy,True,High-confidence error
0e03c87e-b43f-4cfe-a837-71306c68f4c0___RS_Erly.B 7733.JPG,K. Small Portion,tomato_Early blight,tomato_Early blight,True,0.9319,50176,14160,28.22,0.402,53,Moderate,True,None
cf7acf3d-e079-4587-b3e8-bafe507c40d5___RS_Erly.B 8246_final_masked.jpg,A. Normal,tomato_Early blight,tomato_Late blight,False,0.9869,50176,9397,18.73,0.2971,58,Moderate,True,High-confidence error
cf7acf3d-e079-4587-b3e8-bafe507c40d5___RS_Erly.B 8246_final_masked.jpg,B. Low-Resolution,tomato_Early blight,tomato_Early blight,True,1.0,50176,11281,22.48,0.4232,53,Moderate,False,None
cf7acf3d-e079-4587-b3e8-bafe507c40d5___RS_Erly.B 8246_final_masked.jpg,C. Slightly Blurred,tomato_Early blight,tomato_Early blight,True,1.0,50176,11401,22.72,0.3897,56,Moderate,False,None
cf7acf3d-e079-4587-b3e8-bafe507c40d5___RS_Erly.B 8246_final_masked.jpg,D. Dark,tomato_Early blight,tomato_Late blight,False,0.526,50176,1985,3.96,0.1393,70,Mild,False,Low-confidence correct rejection
cf7acf3d-e079-4587-b3e8-bafe507c40d5___RS_Erly.B 8246_final_masked.jpg,E. Overexposed,tomato_Early blight,tomato_Early blight,True,1.0,50176,30818,61.42,0.6129,34,Severe,True,None
cf7acf3d-e079-4587-b3e8-bafe507c40d5___RS_Erly.B 8246_final_masked.jpg,F. Uneven Lighting,tomato_Early blight,tomato_Late blight,False,0.8959,50176,5475,10.91,0.2181,65,Moderate,True,High-confidence error
cf7acf3d-e079-4587-b3e8-bafe507c40d5___RS_Erly.B 8246_final_masked.jpg,H. Partial Leaf,tomato_Early blight,tomato_Late blight,False,0.7506,50176,2272,4.53,0.2128,69,Moderate,False,High-confidence error
cf7acf3d-e079-4587-b3e8-bafe507c40d5___RS_Erly.B 8246_final_masked.jpg,I. Rotated,tomato_Early blight,tomato_Late blight,False,0.8723,50176,6450,12.85,0.2689,62,Moderate,True,High-confidence error
cf7acf3d-e079-4587-b3e8-bafe507c40d5___RS_Erly.B 8246_final_masked.jpg,K. Small Portion,tomato_Early blight,tomato_Early blight,True,0.9985,50176,25463,50.75,0.5461,39,Severe,True,None
8e4238dc-b4fd-46d0-8892-965e64dad7ab___RS_Erly.B 9404.JPG,A. Normal,tomato_Early blight,tomato_Early blight,True,0.9464,18894,7040,37.26,0.4555,48,Moderate,True,None
8e4238dc-b4fd-46d0-8892-965e64dad7ab___RS_Erly.B 9404.JPG,B. Low-Resolution,tomato_Early blight,tomato_healthy,False,0.8982,19060,4001,20.99,0.316,98,Healthy,False,High-confidence error
8e4238dc-b4fd-46d0-8892-965e64dad7ab___RS_Erly.B 9404.JPG,C. Slightly Blurred,tomato_Early blight,tomato_Early blight,True,0.9998,19436,13930,71.67,0.6571,28,Severe,False,None
8e4238dc-b4fd-46d0-8892-965e64dad7ab___RS_Erly.B 9404.JPG,D. Dark,tomato_Early blight,tomato_Early blight,True,0.9584,18684,7182,38.44,0.5099,48,Moderate,True,None
8e4238dc-b4fd-46d0-8892-965e64dad7ab___RS_Erly.B 9404.JPG,E. Overexposed,tomato_Early blight,tomato_Early blight,True,0.9021,19350,87,0.45,0.2001,75,Mild,True,None
8e4238dc-b4fd-46d0-8892-965e64dad7ab___RS_Erly.B 9404.JPG,F. Uneven Lighting,tomato_Early blight,tomato_Early blight,True,0.9276,36647,6978,19.04,0.3384,61,Moderate,True,None
8e4238dc-b4fd-46d0-8892-965e64dad7ab___RS_Erly.B 9404.JPG,H. Partial Leaf,tomato_Early blight,tomato_Early blight,True,0.5633,28394,4442,15.64,0.3205,59,Moderate,True,Low-confidence correct (Warning)
8e4238dc-b4fd-46d0-8892-965e64dad7ab___RS_Erly.B 9404.JPG,I. Rotated,tomato_Early blight,tomato_Early blight,True,0.6088,18891,1254,6.64,0.2642,70,Mild,True,Low-confidence correct (Warning)
8e4238dc-b4fd-46d0-8892-965e64dad7ab___RS_Erly.B 9404.JPG,K. Small Portion,tomato_Early blight,tomato_Early blight,True,0.8043,50176,11393,22.71,0.3732,58,Moderate,True,None
7b4b71f7-ba45-45b8-80c4-a80ae73b9d0f___RS_Erly.B 7611_final_masked.jpg,A. Normal,tomato_Early blight,tomato_Early blight,True,0.999,50176,6799,13.55,0.4079,63,Moderate,True,None
7b4b71f7-ba45-45b8-80c4-a80ae73b9d0f___RS_Erly.B 7611_final_masked.jpg,B. Low-Resolution,tomato_Early blight,tomato_Early blight,True,1.0,50176,11971,23.86,0.4758,57,Moderate,False,None
7b4b71f7-ba45-45b8-80c4-a80ae73b9d0f___RS_Erly.B 7611_final_masked.jpg,C. Slightly Blurred,tomato_Early blight,tomato_Early blight,True,0.9999,50176,17306,34.49,0.4724,50,Moderate,False,None
7b4b71f7-ba45-45b8-80c4-a80ae73b9d0f___RS_Erly.B 7611_final_masked.jpg,D. Dark,tomato_Early blight,tomato_Early blight,True,0.9896,50176,21639,43.13,0.4673,42,Moderate,False,None
7b4b71f7-ba45-45b8-80c4-a80ae73b9d0f___RS_Erly.B 7611_final_masked.jpg,E. Overexposed,tomato_Early blight,tomato_Early blight,True,1.0,50176,8758,17.45,0.406,60,Moderate,True,None
7b4b71f7-ba45-45b8-80c4-a80ae73b9d0f___RS_Erly.B 7611_final_masked.jpg,F. Uneven Lighting,tomato_Early blight,tomato_Early blight,True,1.0,50176,11220,22.36,0.4502,57,Moderate,True,None
7b4b71f7-ba45-45b8-80c4-a80ae73b9d0f___RS_Erly.B 7611_final_masked.jpg,H. Partial Leaf,tomato_Early blight,tomato_Late blight,False,0.7285,50176,7759,15.46,0.2513,61,Moderate,False,High-confidence error
7b4b71f7-ba45-45b8-80c4-a80ae73b9d0f___RS_Erly.B 7611_final_masked.jpg,I. Rotated,tomato_Early blight,tomato_Early blight,True,0.8135,50176,3440,6.86,0.2663,66,Moderate,True,None
7b4b71f7-ba45-45b8-80c4-a80ae73b9d0f___RS_Erly.B 7611_final_masked.jpg,K. Small Portion,tomato_Early blight,tomato_Early blight,True,0.8822,50176,24690,49.21,0.5284,41,Moderate,True,None
6f8046e5-2fc8-4243-a887-b4e99d16397d___RS_Erly.B 6471.JPG,A. Normal,tomato_Early blight,tomato_Early blight,True,0.9848,24230,9396,38.78,0.4452,46,Moderate,True,None
6f8046e5-2fc8-4243-a887-b4e99d16397d___RS_Erly.B 6471.JPG,B. Low-Resolution,tomato_Early blight,tomato_Early blight,True,1.0,24340,14052,57.73,0.6203,34,Severe,False,None
6f8046e5-2fc8-4243-a887-b4e99d16397d___RS_Erly.B 6471.JPG,C. Slightly Blurred,tomato_Early blight,tomato_Early blight,True,1.0,25305,12286,48.55,0.5432,42,Moderate,False,None
6f8046e5-2fc8-4243-a887-b4e99d16397d___RS_Erly.B 6471.JPG,D. Dark,tomato_Early blight,tomato_Early blight,True,0.9336,25427,5456,21.46,0.3459,58,Moderate,False,None
6f8046e5-2fc8-4243-a887-b4e99d16397d___RS_Erly.B 6471.JPG,E. Overexposed,tomato_Early blight,tomato_Early blight,True,0.9954,25078,10993,43.84,0.4706,43,Moderate,True,None
6f8046e5-2fc8-4243-a887-b4e99d16397d___RS_Erly.B 6471.JPG,F. Uneven Lighting,tomato_Early blight,tomato_Early blight,True,0.9969,37777,9657,25.56,0.3278,54,Moderate,True,None
6f8046e5-2fc8-4243-a887-b4e99d16397d___RS_Erly.B 6471.JPG,H. Partial Leaf,tomato_Early blight,tomato_Early blight,True,0.5064,34700,2716,7.83,0.2461,66,Moderate,True,Low-confidence correct (Warning)
6f8046e5-2fc8-4243-a887-b4e99d16397d___RS_Erly.B 6471.JPG,I. Rotated,tomato_Early blight,tomato_Early blight,True,0.9572,24229,5979,24.68,0.351,55,Moderate,True,None
6f8046e5-2fc8-4243-a887-b4e99d16397d___RS_Erly.B 6471.JPG,K. Small Portion,tomato_Early blight,tomato_Early blight,True,0.9789,50176,17901,35.68,0.4663,51,Moderate,True,None
43e84adf-0897-47dc-97a4-94ef0e83eef5___RS_Erly.B 6399_final_masked.jpg,A. Normal,tomato_Early blight,tomato_Early blight,True,0.9997,50176,23086,46.01,0.5527,41,Moderate,True,None
43e84adf-0897-47dc-97a4-94ef0e83eef5___RS_Erly.B 6399_final_masked.jpg,B. Low-Resolution,tomato_Early blight,tomato_Early blight,True,1.0,50176,27513,54.83,0.579,37,Severe,False,None
43e84adf-0897-47dc-97a4-94ef0e83eef5___RS_Erly.B 6399_final_masked.jpg,C. Slightly Blurred,tomato_Early blight,tomato_Early blight,True,1.0,50176,20346,40.55,0.5227,47,Moderate,False,None
43e84adf-0897-47dc-97a4-94ef0e83eef5___RS_Erly.B 6399_final_masked.jpg,D. Dark,tomato_Early blight,tomato_Early blight,True,0.9964,50176,18709,37.29,0.5124,47,Moderate,False,None
43e84adf-0897-47dc-97a4-94ef0e83eef5___RS_Erly.B 6399_final_masked.jpg,E. Overexposed,tomato_Early blight,tomato_Early blight,True,1.0,50176,19294,38.45,0.5296,45,Moderate,True,None
43e84adf-0897-47dc-97a4-94ef0e83eef5___RS_Erly.B 6399_final_masked.jpg,F. Uneven Lighting,tomato_Early blight,tomato_Early blight,True,0.9993,50176,11890,23.7,0.4262,55,Moderate,True,None
43e84adf-0897-47dc-97a4-94ef0e83eef5___RS_Erly.B 6399_final_masked.jpg,H. Partial Leaf,tomato_Early blight,tomato_Early blight,True,0.7391,50176,8630,17.2,0.3237,59,Moderate,False,None
43e84adf-0897-47dc-97a4-94ef0e83eef5___RS_Erly.B 6399_final_masked.jpg,I. Rotated,tomato_Early blight,tomato_Early blight,True,1.0,50176,14637,29.17,0.4259,52,Moderate,True,None
43e84adf-0897-47dc-97a4-94ef0e83eef5___RS_Erly.B 6399_final_masked.jpg,K. Small Portion,tomato_Early blight,tomato_Early blight,True,0.8619,50176,18462,36.79,0.4733,48,Moderate,True,None
c98f4286-f846-4c26-b74f-9859de9699e6___RS_Erly.B 9607_final_masked.jpg,A. Normal,tomato_Early blight,tomato_Early blight,True,0.9954,50176,10319,20.57,0.3519,56,Moderate,True,None
c98f4286-f846-4c26-b74f-9859de9699e6___RS_Erly.B 9607_final_masked.jpg,B. Low-Resolution,tomato_Early blight,tomato_Early blight,True,1.0,50176,15196,30.29,0.5026,50,Moderate,False,None
c98f4286-f846-4c26-b74f-9859de9699e6___RS_Erly.B 9607_final_masked.jpg,C. Slightly Blurred,tomato_Early blight,tomato_Early blight,True,1.0,50176,6696,13.35,0.2384,63,Moderate,False,None
c98f4286-f846-4c26-b74f-9859de9699e6___RS_Erly.B 9607_final_masked.jpg,D. Dark,tomato_Early blight,tomato_Early blight,True,0.6237,50176,3424,6.82,0.2421,67,Moderate,False,Low-confidence correct (Warning)
c98f4286-f846-4c26-b74f-9859de9699e6___RS_Erly.B 9607_final_masked.jpg,E. Overexposed,tomato_Early blight,tomato_Early blight,True,0.9994,50176,9418,18.77,0.3699,57,Moderate,True,None
c98f4286-f846-4c26-b74f-9859de9699e6___RS_Erly.B 9607_final_masked.jpg,F. Uneven Lighting,tomato_Early blight,tomato_Early blight,True,0.9867,50176,11295,22.51,0.3305,55,Moderate,False,None
c98f4286-f846-4c26-b74f-9859de9699e6___RS_Erly.B 9607_final_masked.jpg,H. Partial Leaf,tomato_Early blight,tomato_Early blight,True,0.739,50176,7072,14.09,0.2884,62,Moderate,False,None
c98f4286-f846-4c26-b74f-9859de9699e6___RS_Erly.B 9607_final_masked.jpg,I. Rotated,tomato_Early blight,tomato_Early blight,True,0.9999,50176,13561,27.03,0.4181,54,Moderate,True,None
c98f4286-f846-4c26-b74f-9859de9699e6___RS_Erly.B 9607_final_masked.jpg,K. Small Portion,tomato_Early blight,tomato_Late blight,False,0.5553,50176,772,1.54,0.0961,70,Mild,True,Low-confidence correct rejection
313ff9e3-e43c-45b6-9879-b76a1e040eef___RS_Erly.B 8454_final_masked.jpg,A. Normal,tomato_Early blight,tomato_Early blight,True,0.9785,50176,12961,25.83,0.4404,54,Moderate,True,None
313ff9e3-e43c-45b6-9879-b76a1e040eef___RS_Erly.B 8454_final_masked.jpg,B. Low-Resolution,tomato_Early blight,tomato_Early blight,True,1.0,50176,27743,55.29,0.635,37,Severe,False,None
313ff9e3-e43c-45b6-9879-b76a1e040eef___RS_Erly.B 8454_final_masked.jpg,C. Slightly Blurred,tomato_Early blight,tomato_Early blight,True,1.0,50176,25800,51.42,0.6356,39,Severe,False,None
313ff9e3-e43c-45b6-9879-b76a1e040eef___RS_Erly.B 8454_final_masked.jpg,D. Dark,tomato_Early blight,tomato_Early blight,True,0.9836,50176,10171,20.27,0.3496,59,Moderate,False,None
313ff9e3-e43c-45b6-9879-b76a1e040eef___RS_Erly.B 8454_final_masked.jpg,E. Overexposed,tomato_Early blight,tomato_Early blight,True,1.0,50176,9650,19.23,0.3907,59,Moderate,True,None
313ff9e3-e43c-45b6-9879-b76a1e040eef___RS_Erly.B 8454_final_masked.jpg,F. Uneven Lighting,tomato_Early blight,tomato_Early blight,True,0.9962,50176,14869,29.63,0.4938,52,Moderate,True,None
313ff9e3-e43c-45b6-9879-b76a1e040eef___RS_Erly.B 8454_final_masked.jpg,H. Partial Leaf,tomato_Early blight,tomato_Late blight,False,0.6951,50176,5621,11.2,0.2312,63,Moderate,True,High-confidence error
313ff9e3-e43c-45b6-9879-b76a1e040eef___RS_Erly.B 8454_final_masked.jpg,I. Rotated,tomato_Early blight,tomato_Early blight,True,0.9913,50176,10645,21.22,0.3991,57,Moderate,True,None
313ff9e3-e43c-45b6-9879-b76a1e040eef___RS_Erly.B 8454_final_masked.jpg,K. Small Portion,tomato_Early blight,tomato_Early blight,True,0.6168,50176,13105,26.12,0.4014,55,Moderate,True,Low-confidence correct (Warning)
3c813cf8-6949-4e1f-b812-3530e3ab5c8b___RS_Late.B 4828.JPG,A. Normal,tomato_Late blight,tomato_Late blight,True,0.996,29662,13531,45.62,0.536,43,Moderate,True,None
3c813cf8-6949-4e1f-b812-3530e3ab5c8b___RS_Late.B 4828.JPG,B. Low-Resolution,tomato_Late blight,tomato_healthy,False,0.6104,29716,6308,21.23,0.3364,98,Healthy,False,Low-confidence correct rejection
3c813cf8-6949-4e1f-b812-3530e3ab5c8b___RS_Late.B 4828.JPG,C. Slightly Blurred,tomato_Late blight,tomato_Early blight,False,0.9995,29962,11394,38.03,0.4581,48,Moderate,False,High-confidence error
3c813cf8-6949-4e1f-b812-3530e3ab5c8b___RS_Late.B 4828.JPG,D. Dark,tomato_Late blight,tomato_Late blight,True,0.9882,29274,12083,41.28,0.5224,45,Moderate,False,None
3c813cf8-6949-4e1f-b812-3530e3ab5c8b___RS_Late.B 4828.JPG,E. Overexposed,tomato_Late blight,tomato_Late blight,True,0.9988,29597,15877,53.64,0.6048,35,Severe,True,None
3c813cf8-6949-4e1f-b812-3530e3ab5c8b___RS_Late.B 4828.JPG,F. Uneven Lighting,tomato_Late blight,tomato_Late blight,True,0.9989,40842,13506,33.07,0.4176,50,Moderate,True,None
3c813cf8-6949-4e1f-b812-3530e3ab5c8b___RS_Late.B 4828.JPG,H. Partial Leaf,tomato_Late blight,tomato_Late blight,True,0.9434,37609,5644,15.01,0.278,60,Moderate,True,None
3c813cf8-6949-4e1f-b812-3530e3ab5c8b___RS_Late.B 4828.JPG,I. Rotated,tomato_Late blight,tomato_Late blight,True,0.997,29691,12363,41.64,0.533,44,Moderate,True,None
3c813cf8-6949-4e1f-b812-3530e3ab5c8b___RS_Late.B 4828.JPG,K. Small Portion,tomato_Late blight,tomato_Early blight,False,0.5404,50176,14759,29.41,0.376,52,Moderate,True,Low-confidence correct rejection
0ab172fa-ac7b-4a3e-90c8-0708703eb3bb___RS_Late.B 5572.JPG,A. Normal,tomato_Late blight,tomato_Late blight,True,0.9994,21826,6118,28.03,0.4356,54,Moderate,True,None
0ab172fa-ac7b-4a3e-90c8-0708703eb3bb___RS_Late.B 5572.JPG,B. Low-Resolution,tomato_Late blight,tomato_Early blight,False,0.9999,21523,13261,61.61,0.6375,32,Severe,False,High-confidence error
0ab172fa-ac7b-4a3e-90c8-0708703eb3bb___RS_Late.B 5572.JPG,C. Slightly Blurred,tomato_Late blight,tomato_Early blight,False,1.0,21715,16632,76.59,0.7033,24,Severe,False,High-confidence error
0ab172fa-ac7b-4a3e-90c8-0708703eb3bb___RS_Late.B 5572.JPG,D. Dark,tomato_Late blight,tomato_Late blight,True,0.9974,21984,12535,57.02,0.5906,34,Severe,True,None
0ab172fa-ac7b-4a3e-90c8-0708703eb3bb___RS_Late.B 5572.JPG,E. Overexposed,tomato_Late blight,tomato_Late blight,True,0.995,20769,8721,41.99,0.5181,43,Moderate,True,None
0ab172fa-ac7b-4a3e-90c8-0708703eb3bb___RS_Late.B 5572.JPG,F. Uneven Lighting,tomato_Late blight,tomato_Late blight,True,0.9983,33130,7997,24.14,0.3591,55,Moderate,True,None
0ab172fa-ac7b-4a3e-90c8-0708703eb3bb___RS_Late.B 5572.JPG,H. Partial Leaf,tomato_Late blight,tomato_Late blight,True,1.0,38054,10468,27.51,0.3251,50,Moderate,True,None
0ab172fa-ac7b-4a3e-90c8-0708703eb3bb___RS_Late.B 5572.JPG,I. Rotated,tomato_Late blight,tomato_Late blight,True,0.9775,21942,8630,39.33,0.4603,45,Moderate,True,None
0ab172fa-ac7b-4a3e-90c8-0708703eb3bb___RS_Late.B 5572.JPG,K. Small Portion,tomato_Late blight,tomato_Late blight,True,0.692,50176,3691,7.36,0.1942,67,Moderate,True,None
d6dde2e1-097a-4d45-b646-0110aaa06107___GHLB2 Leaf 8816_final_masked.jpg,A. Normal,tomato_Late blight,tomato_Late blight,True,0.9275,50176,4757,9.48,0.2275,65,Moderate,False,None
d6dde2e1-097a-4d45-b646-0110aaa06107___GHLB2 Leaf 8816_final_masked.jpg,B. Low-Resolution,tomato_Late blight,tomato_Early blight,False,0.9444,50176,14281,28.46,0.3912,53,Moderate,False,High-confidence error
d6dde2e1-097a-4d45-b646-0110aaa06107___GHLB2 Leaf 8816_final_masked.jpg,C. Slightly Blurred,tomato_Late blight,tomato_Early blight,False,0.9895,50176,5999,11.96,0.2933,64,Moderate,False,High-confidence error
d6dde2e1-097a-4d45-b646-0110aaa06107___GHLB2 Leaf 8816_final_masked.jpg,D. Dark,tomato_Late blight,tomato_Late blight,True,1.0,50176,11577,23.07,0.332,54,Moderate,False,None
d6dde2e1-097a-4d45-b646-0110aaa06107___GHLB2 Leaf 8816_final_masked.jpg,E. Overexposed,tomato_Late blight,tomato_Late blight,True,0.9999,50176,9491,18.92,0.3032,58,Moderate,True,None
d6dde2e1-097a-4d45-b646-0110aaa06107___GHLB2 Leaf 8816_final_masked.jpg,F. Uneven Lighting,tomato_Late blight,tomato_Late blight,True,0.999,50176,10502,20.93,0.3091,56,Moderate,False,None
d6dde2e1-097a-4d45-b646-0110aaa06107___GHLB2 Leaf 8816_final_masked.jpg,H. Partial Leaf,tomato_Late blight,tomato_Late blight,True,0.8746,50176,7444,14.84,0.2869,60,Moderate,False,None
d6dde2e1-097a-4d45-b646-0110aaa06107___GHLB2 Leaf 8816_final_masked.jpg,I. Rotated,tomato_Late blight,tomato_Late blight,True,0.9993,50176,8976,17.89,0.2769,59,Moderate,False,None
d6dde2e1-097a-4d45-b646-0110aaa06107___GHLB2 Leaf 8816_final_masked.jpg,K. Small Portion,tomato_Late blight,tomato_Late blight,True,0.5098,50176,3124,6.23,0.1695,68,Moderate,True,Low-confidence correct (Warning)
b6f177f7-4475-4ee6-98cd-4123d7d6ac33___GHLB2ES Leaf 138_final_masked.jpg,A. Normal,tomato_Late blight,tomato_Late blight,True,0.7601,50176,7734,15.41,0.2313,60,Moderate,True,None
b6f177f7-4475-4ee6-98cd-4123d7d6ac33___GHLB2ES Leaf 138_final_masked.jpg,B. Low-Resolution,tomato_Late blight,tomato_Early blight,False,0.9999,50176,17349,34.58,0.5154,50,Moderate,False,High-confidence error
b6f177f7-4475-4ee6-98cd-4123d7d6ac33___GHLB2ES Leaf 138_final_masked.jpg,C. Slightly Blurred,tomato_Late blight,tomato_Early blight,False,0.9966,50176,4485,8.94,0.2761,66,Moderate,False,High-confidence error
b6f177f7-4475-4ee6-98cd-4123d7d6ac33___GHLB2ES Leaf 138_final_masked.jpg,D. Dark,tomato_Late blight,tomato_Late blight,True,0.9691,50176,6383,12.72,0.2247,63,Moderate,False,None
b6f177f7-4475-4ee6-98cd-4123d7d6ac33___GHLB2ES Leaf 138_final_masked.jpg,E. Overexposed,tomato_Late blight,tomato_Late blight,True,0.958,50176,9019,17.97,0.2185,57,Moderate,True,None
b6f177f7-4475-4ee6-98cd-4123d7d6ac33___GHLB2ES Leaf 138_final_masked.jpg,F. Uneven Lighting,tomato_Late blight,tomato_Late blight,True,0.8332,50176,7127,14.2,0.2076,60,Moderate,True,None
b6f177f7-4475-4ee6-98cd-4123d7d6ac33___GHLB2ES Leaf 138_final_masked.jpg,H. Partial Leaf,tomato_Late blight,tomato_Late blight,True,0.8819,50176,6958,13.87,0.2679,61,Moderate,False,None
b6f177f7-4475-4ee6-98cd-4123d7d6ac33___GHLB2ES Leaf 138_final_masked.jpg,I. Rotated,tomato_Late blight,tomato_healthy,False,0.6956,50176,4837,9.64,0.188,99,Healthy,True,High-confidence error
b6f177f7-4475-4ee6-98cd-4123d7d6ac33___GHLB2ES Leaf 138_final_masked.jpg,K. Small Portion,tomato_Late blight,tomato_Late blight,True,0.5647,50176,1529,3.05,0.093,69,Moderate,True,Low-confidence correct (Warning)
9ed83599-49d6-479c-a69b-a133d9aee606___GHLB_PS Leaf 1.3 Day 13_final_masked.jpg,A. Normal,tomato_Late blight,tomato_Late blight,True,0.9992,50176,14198,28.3,0.3791,52,Moderate,True,None
9ed83599-49d6-479c-a69b-a133d9aee606___GHLB_PS Leaf 1.3 Day 13_final_masked.jpg,B. Low-Resolution,tomato_Late blight,tomato_Early blight,False,0.995,50176,15011,29.92,0.497,52,Moderate,False,High-confidence error
