filename,filepath,physical_leaf_id,true_class,predicted_class,confidence,correct,error_type,confidence_band,high_confidence_error,image_quality_observation,lighting_observation,leaf_visibility_observation,disease_visibility_observation,possible_contributing_factor,assessment_certainty
a3af61fe-3cde-4083-963f-909bfced23db___RS_Erly.B 7590_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\a3af61fe-3cde-4083-963f-909bfced23db___RS_Erly.B 7590_final_masked.jpg,RS_Erly.B 7590,tomato_Early blight,tomato_Late blight,0.8403895,False,Early Blight -> Late Blight,80–90%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
73f4d791-745e-49b8-82d8-e29b24ddd0e5___RS_Erly.B 7593_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\73f4d791-745e-49b8-82d8-e29b24ddd0e5___RS_Erly.B 7593_final_masked.jpg,RS_Erly.B 7593,tomato_Early blight,tomato_Late blight,0.9674797,False,Early Blight -> Late Blight,95–100%,True,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,clearly observable
a67b9ba1-99ff-4826-8f7b-1b89ca61980e___RS_Erly.B 7597_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\a67b9ba1-99ff-4826-8f7b-1b89ca61980e___RS_Erly.B 7597_final_masked.jpg,RS_Erly.B 7597,tomato_Early blight,tomato_Late blight,0.84222454,False,Early Blight -> Late Blight,80–90%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
f870ea24-aac9-41cd-92a3-72f87d395c33___RS_Erly.B 7598_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\f870ea24-aac9-41cd-92a3-72f87d395c33___RS_Erly.B 7598_final_masked.jpg,RS_Erly.B 7598,tomato_Early blight,tomato_Late blight,0.8696877,False,Early Blight -> Late Blight,80–90%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,clearly observable
3f35dad7-734b-46ee-8193-09fd3c8562ff___RS_Erly.B 7600.JPG,C:\Greenscan project\dataset\tomato_Early blight\3f35dad7-734b-46ee-8193-09fd3c8562ff___RS_Erly.B 7600.JPG,RS_Erly.B 7600,tomato_Early blight,tomato_Late blight,0.76935893,False,Early Blight -> Late Blight,70–80%,False,standard resolution studio capture,balanced illumination,full leaf visible,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
3f35dad7-734b-46ee-8193-09fd3c8562ff___RS_Erly.B 7600_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\3f35dad7-734b-46ee-8193-09fd3c8562ff___RS_Erly.B 7600_final_masked.jpg,RS_Erly.B 7600,tomato_Early blight,tomato_Late blight,0.9976428,False,Early Blight -> Late Blight,95–100%,True,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,clearly observable
e330dc16-fdf9-4eee-8b09-88bfb5537180___RS_Erly.B 7601_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\e330dc16-fdf9-4eee-8b09-88bfb5537180___RS_Erly.B 7601_final_masked.jpg,RS_Erly.B 7601,tomato_Early blight,tomato_Late blight,0.9635243,False,Early Blight -> Late Blight,95–100%,True,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,clearly observable
bd0f06fb-1f9a-4de8-8c96-926d312cea27___RS_Erly.B 7603_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\bd0f06fb-1f9a-4de8-8c96-926d312cea27___RS_Erly.B 7603_final_masked.jpg,RS_Erly.B 7603,tomato_Early blight,tomato_Late blight,0.9812026,False,Early Blight -> Late Blight,95–100%,True,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,clearly observable
ad567130-1714-4f31-9735-9ffe4b373964___RS_Erly.B 7623_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\ad567130-1714-4f31-9735-9ffe4b373964___RS_Erly.B 7623_final_masked.jpg,RS_Erly.B 7623,tomato_Early blight,tomato_Late blight,0.71469223,False,Early Blight -> Late Blight,70–80%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
fe856320-407c-4390-9960-a6a539371182___RS_Erly.B 7624_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\fe856320-407c-4390-9960-a6a539371182___RS_Erly.B 7624_final_masked.jpg,RS_Erly.B 7624,tomato_Early blight,tomato_Late blight,0.6281696,False,Early Blight -> Late Blight,50–70%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
18a21f42-8794-4665-8174-b0ccd3758af8___RS_Erly.B 7650_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\18a21f42-8794-4665-8174-b0ccd3758af8___RS_Erly.B 7650_final_masked.jpg,RS_Erly.B 7650,tomato_Early blight,tomato_Late blight,0.82814765,False,Early Blight -> Late Blight,80–90%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
9eec6625-b337-403b-b93c-e809f4e0b8c4___RS_Erly.B 7681_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\9eec6625-b337-403b-b93c-e809f4e0b8c4___RS_Erly.B 7681_final_masked.jpg,RS_Erly.B 7681,tomato_Early blight,tomato_healthy,0.572018,False,Early Blight -> Healthy,50–70%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,very small focal lesion or subtle marginal chlorosis on predominantly green blade,mild symptoms,clearly observable
9d64c577-43dd-4409-b0ed-f5460bc01dc9___RS_Erly.B 7685_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\9d64c577-43dd-4409-b0ed-f5460bc01dc9___RS_Erly.B 7685_final_masked.jpg,RS_Erly.B 7685,tomato_Early blight,tomato_healthy,0.8821264,False,Early Blight -> Healthy,80–90%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,very small focal lesion or subtle marginal chlorosis on predominantly green blade,mild symptoms,clearly observable
f525cb66-09b6-4f96-93dd-d6bc936f5645___RS_Erly.B 7700_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\f525cb66-09b6-4f96-93dd-d6bc936f5645___RS_Erly.B 7700_final_masked.jpg,RS_Erly.B 7700,tomato_Early blight,tomato_Late blight,0.5969091,False,Early Blight -> Late Blight,50–70%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
48dd3efc-400d-4b81-a569-13a51083df58___RS_Erly.B 7718_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\48dd3efc-400d-4b81-a569-13a51083df58___RS_Erly.B 7718_final_masked.jpg,RS_Erly.B 7718,tomato_Early blight,tomato_healthy,0.5837788,False,Early Blight -> Healthy,50–70%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,very small focal lesion or subtle marginal chlorosis on predominantly green blade,mild symptoms,clearly observable
535c3c4f-c082-4dd7-a98b-2e16cb377d89___RS_Erly.B 7770.JPG,C:\Greenscan project\dataset\tomato_Early blight\535c3c4f-c082-4dd7-a98b-2e16cb377d89___RS_Erly.B 7770.JPG,RS_Erly.B 7770,tomato_Early blight,tomato_Late blight,0.66303813,False,Early Blight -> Late Blight,50–70%,False,standard resolution studio capture,balanced illumination,full leaf visible,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
605e0af6-415f-4e25-8f0d-a8f36371732b___RS_Erly.B 7827_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\605e0af6-415f-4e25-8f0d-a8f36371732b___RS_Erly.B 7827_final_masked.jpg,RS_Erly.B 7827,tomato_Early blight,tomato_healthy,0.67423165,False,Early Blight -> Healthy,50–70%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,very small focal lesion or subtle marginal chlorosis on predominantly green blade,mild symptoms,clearly observable
8824899d-1dce-4729-860b-336d563bc268___RS_Erly.B 7837.JPG,C:\Greenscan project\dataset\tomato_Early blight\8824899d-1dce-4729-860b-336d563bc268___RS_Erly.B 7837.JPG,RS_Erly.B 7837,tomato_Early blight,tomato_Late blight,0.42437845,False,Early Blight -> Late Blight,0–50%,False,standard resolution studio capture,balanced illumination,full leaf visible,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
f64da90c-b9ca-4453-896f-4cd9e358c24a___RS_Erly.B 8223_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\f64da90c-b9ca-4453-896f-4cd9e358c24a___RS_Erly.B 8223_final_masked.jpg,RS_Erly.B 8223,tomato_Early blight,tomato_Late blight,0.73171234,False,Early Blight -> Late Blight,70–80%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
3253ff4e-90ab-475a-89d2-f99875c53367___RS_Erly.B 8356.JPG,C:\Greenscan project\dataset\tomato_Early blight\3253ff4e-90ab-475a-89d2-f99875c53367___RS_Erly.B 8356.JPG,RS_Erly.B 8356,tomato_Early blight,tomato_healthy,0.59563196,False,Early Blight -> Healthy,50–70%,False,standard resolution studio capture,balanced illumination,full leaf visible,very small focal lesion or subtle marginal chlorosis on predominantly green blade,mild symptoms,clearly observable
3253ff4e-90ab-475a-89d2-f99875c53367___RS_Erly.B 8356_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\3253ff4e-90ab-475a-89d2-f99875c53367___RS_Erly.B 8356_final_masked.jpg,RS_Erly.B 8356,tomato_Early blight,tomato_healthy,0.7694064,False,Early Blight -> Healthy,70–80%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,very small focal lesion or subtle marginal chlorosis on predominantly green blade,mild symptoms,clearly observable
c1291fe6-06c2-477e-b30f-dca9a9a80079___RS_Erly.B 8371_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\c1291fe6-06c2-477e-b30f-dca9a9a80079___RS_Erly.B 8371_final_masked.jpg,RS_Erly.B 8371,tomato_Early blight,tomato_Late blight,0.5279577,False,Early Blight -> Late Blight,50–70%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
1ba88993-c3f8-462d-bd1b-e10819b9c96f___RS_Erly.B 8396_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\1ba88993-c3f8-462d-bd1b-e10819b9c96f___RS_Erly.B 8396_final_masked.jpg,RS_Erly.B 8396,tomato_Early blight,tomato_Late blight,0.71462494,False,Early Blight -> Late Blight,70–80%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
2763c9bc-ecc6-4f1a-86a7-ef8ffa370420___RS_Erly.B 8422.JPG,C:\Greenscan project\dataset\tomato_Early blight\2763c9bc-ecc6-4f1a-86a7-ef8ffa370420___RS_Erly.B 8422.JPG,RS_Erly.B 8422,tomato_Early blight,tomato_Late blight,0.8035476,False,Early Blight -> Late Blight,80–90%,False,standard resolution studio capture,balanced illumination,full leaf visible,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
8fd0e481-6590-4314-8dd9-975e5da774c8___RS_Erly.B 9559.JPG,C:\Greenscan project\dataset\tomato_Early blight\8fd0e481-6590-4314-8dd9-975e5da774c8___RS_Erly.B 9559.JPG,RS_Erly.B 9559,tomato_Early blight,tomato_Late blight,0.63875633,False,Early Blight -> Late Blight,50–70%,False,standard resolution studio capture,balanced illumination,full leaf visible,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
90b9c783-480b-4f9b-a97a-d632f60a8f24___RS_Erly.B 9566.JPG,C:\Greenscan project\dataset\tomato_Early blight\90b9c783-480b-4f9b-a97a-d632f60a8f24___RS_Erly.B 9566.JPG,RS_Erly.B 9566,tomato_Early blight,tomato_Late blight,0.5134258,False,Early Blight -> Late Blight,50–70%,False,standard resolution studio capture,balanced illumination,full leaf visible,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
90b9c783-480b-4f9b-a97a-d632f60a8f24___RS_Erly.B 9566_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\90b9c783-480b-4f9b-a97a-d632f60a8f24___RS_Erly.B 9566_final_masked.jpg,RS_Erly.B 9566,tomato_Early blight,tomato_Late blight,0.7655416,False,Early Blight -> Late Blight,70–80%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
c78c9d19-e83d-4c3b-a690-e6e3b95c979d___RS_Erly.B 9569_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\c78c9d19-e83d-4c3b-a690-e6e3b95c979d___RS_Erly.B 9569_final_masked.jpg,RS_Erly.B 9569,tomato_Early blight,tomato_Late blight,0.48988497,False,Early Blight -> Late Blight,0–50%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
89e0c6b5-8812-4a16-92eb-e63401b50051___RS_Erly.B 9589.JPG,C:\Greenscan project\dataset\tomato_Early blight\89e0c6b5-8812-4a16-92eb-e63401b50051___RS_Erly.B 9589.JPG,RS_Erly.B 9589,tomato_Early blight,tomato_Late blight,0.7020329,False,Early Blight -> Late Blight,70–80%,False,standard resolution studio capture,balanced illumination,full leaf visible,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
89e0c6b5-8812-4a16-92eb-e63401b50051___RS_Erly.B 9589_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\89e0c6b5-8812-4a16-92eb-e63401b50051___RS_Erly.B 9589_final_masked.jpg,RS_Erly.B 9589,tomato_Early blight,tomato_Late blight,0.5609736,False,Early Blight -> Late Blight,50–70%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
42c0d61f-b28e-43e9-9fa3-bb03c6ec086a___RS_Erly.B 9601_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\42c0d61f-b28e-43e9-9fa3-bb03c6ec086a___RS_Erly.B 9601_final_masked.jpg,RS_Erly.B 9601,tomato_Early blight,tomato_Late blight,0.8638953,False,Early Blight -> Late Blight,80–90%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,clearly observable
1ba9a636-a673-45bc-b515-4fe6848f271e___RS_Erly.B 9605_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\1ba9a636-a673-45bc-b515-4fe6848f271e___RS_Erly.B 9605_final_masked.jpg,RS_Erly.B 9605,tomato_Early blight,tomato_Late blight,0.69381446,False,Early Blight -> Late Blight,50–70%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,diffuse or coalesced dark necrotic lesions lacking clear concentric rings,ambiguous disease appearance,possibly contributing
7eb30afe-7975-487a-8dd2-bf72634967a8___GHLB2ES Leaf 136.1_final_masked.jpg,C:\Greenscan project\dataset\tomato_Late blight\7eb30afe-7975-487a-8dd2-bf72634967a8___GHLB2ES Leaf 136.1_final_masked.jpg,GHLB2ES Leaf 136.1,tomato_Late blight,tomato_Early blight,0.46685737,False,Late Blight -> Early Blight,0–50%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,isolated focal necrotic spots resembling early blight target morphology,ambiguous disease appearance,possibly contributing
09590524-981f-4dc5-b6e3-5225a0c48019___GHLB2ES Leaf 140_final_masked.jpg,C:\Greenscan project\dataset\tomato_Late blight\09590524-981f-4dc5-b6e3-5225a0c48019___GHLB2ES Leaf 140_final_masked.jpg,GHLB2ES Leaf 140,tomato_Late blight,tomato_healthy,0.75954527,False,Late Blight -> Healthy,70–80%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,very small focal lesion or subtle marginal chlorosis on predominantly green blade,mild symptoms,clearly observable
d674cbf6-0cdc-407a-97ea-c3f53f2c51e4___GH_HL Leaf 170_final_masked.jpg,C:\Greenscan project\dataset\tomato_Late blight\d674cbf6-0cdc-407a-97ea-c3f53f2c51e4___GH_HL Leaf 170_final_masked.jpg,GH_HL Leaf 170,tomato_Late blight,tomato_healthy,0.9798498,False,Late Blight -> Healthy,95–100%,True,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,very small focal lesion or subtle marginal chlorosis on predominantly green blade,mild symptoms,clearly observable
ba98d073-d05a-4dfd-ae35-3f1fda2c3110___RS_Late.B 4843_final_masked.jpg,C:\Greenscan project\dataset\tomato_Late blight\ba98d073-d05a-4dfd-ae35-3f1fda2c3110___RS_Late.B 4843_final_masked.jpg,RS_Late.B 4843,tomato_Late blight,tomato_Early blight,0.5253778,False,Late Blight -> Early Blight,50–70%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,isolated focal necrotic spots resembling early blight target morphology,ambiguous disease appearance,possibly contributing
7a48f790-80f5-4d75-bd49-3c42e8c92fb6___RS_Late.B 4844_final_masked.jpg,C:\Greenscan project\dataset\tomato_Late blight\7a48f790-80f5-4d75-bd49-3c42e8c92fb6___RS_Late.B 4844_final_masked.jpg,RS_Late.B 4844,tomato_Late blight,tomato_healthy,0.92550033,False,Late Blight -> Healthy,90–95%,True,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,very small focal lesion or subtle marginal chlorosis on predominantly green blade,mild symptoms,clearly observable
c8e70ac1-1fbc-496d-a6eb-954ef48d4f56___RS_Late.B 4932_final_masked.jpg,C:\Greenscan project\dataset\tomato_Late blight\c8e70ac1-1fbc-496d-a6eb-954ef48d4f56___RS_Late.B 4932_final_masked.jpg,RS_Late.B 4932,tomato_Late blight,tomato_Early blight,0.51873535,False,Late Blight -> Early Blight,50–70%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,isolated focal necrotic spots resembling early blight target morphology,ambiguous disease appearance,possibly contributing
7f847477-1111-4f20-9de5-56153bee415b___RS_Late.B 5049_final_masked.jpg,C:\Greenscan project\dataset\tomato_Late blight\7f847477-1111-4f20-9de5-56153bee415b___RS_Late.B 5049_final_masked.jpg,RS_Late.B 5049,tomato_Late blight,tomato_Early blight,0.5268925,False,Late Blight -> Early Blight,50–70%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,isolated focal necrotic spots resembling early blight target morphology,ambiguous disease appearance,possibly contributing
35a4883c-bef7-4465-b136-a7465a0752de___RS_Late.B 5054.JPG,C:\Greenscan project\dataset\tomato_Late blight\35a4883c-bef7-4465-b136-a7465a0752de___RS_Late.B 5054.JPG,RS_Late.B 5054,tomato_Late blight,tomato_Early blight,0.8314014,False,Late Blight -> Early Blight,80–90%,False,standard resolution studio capture,balanced illumination,full leaf visible,isolated focal necrotic spots resembling early blight target morphology,ambiguous disease appearance,possibly contributing
35a4883c-bef7-4465-b136-a7465a0752de___RS_Late.B 5054_final_masked.jpg,C:\Greenscan project\dataset\tomato_Late blight\35a4883c-bef7-4465-b136-a7465a0752de___RS_Late.B 5054_final_masked.jpg,RS_Late.B 5054,tomato_Late blight,tomato_Early blight,0.526237,False,Late Blight -> Early Blight,50–70%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,isolated focal necrotic spots resembling early blight target morphology,ambiguous disease appearance,possibly contributing
a9b6997c-b2bd-4938-aa5f-492ae0cc8431___RS_Late.B 5063_final_masked.jpg,C:\Greenscan project\dataset\tomato_Late blight\a9b6997c-b2bd-4938-aa5f-492ae0cc8431___RS_Late.B 5063_final_masked.jpg,RS_Late.B 5063,tomato_Late blight,tomato_Early blight,0.5462707,False,Late Blight -> Early Blight,50–70%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,isolated focal necrotic spots resembling early blight target morphology,ambiguous disease appearance,possibly contributing
e3c4a4e5-4ec3-404f-8dbd-7de9dd3f184a___RS_Late.B 5073_final_masked.jpg,C:\Greenscan project\dataset\tomato_Late blight\e3c4a4e5-4ec3-404f-8dbd-7de9dd3f184a___RS_Late.B 5073_final_masked.jpg,RS_Late.B 5073,tomato_Late blight,tomato_Early blight,0.4673793,False,Late Blight -> Early Blight,0–50%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,isolated focal necrotic spots resembling early blight target morphology,ambiguous disease appearance,possibly contributing
2edc83c5-b45e-4f4e-ba56-1ff26c33abea___RS_Late.B 5614.JPG,C:\Greenscan project\dataset\tomato_Late blight\2edc83c5-b45e-4f4e-ba56-1ff26c33abea___RS_Late.B 5614.JPG,RS_Late.B 5614,tomato_Late blight,tomato_Early blight,0.8072788,False,Late Blight -> Early Blight,80–90%,False,standard resolution studio capture,balanced illumination,full leaf visible,isolated focal necrotic spots resembling early blight target morphology,ambiguous disease appearance,possibly contributing
2edc83c5-b45e-4f4e-ba56-1ff26c33abea___RS_Late.B 5614_final_masked.jpg,C:\Greenscan project\dataset\tomato_Late blight\2edc83c5-b45e-4f4e-ba56-1ff26c33abea___RS_Late.B 5614_final_masked.jpg,RS_Late.B 5614,tomato_Late blight,tomato_Early blight,0.7883979,False,Late Blight -> Early Blight,70–80%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,isolated focal necrotic spots resembling early blight target morphology,ambiguous disease appearance,possibly contributing
