Image ID,True Class,Predicted Class,Confidence,Leaf Pixels,Activated Pixels,Activation Threshold,Attention-Affected Region %,Mean Leaf Activation,Mean Activated Activation,Weighted Activation,Health Score,Severity
04747279-48b2-4ce1-932b-e511424beb6b___RS_Erly.B 8240_final_masked.jpg,tomato_Early blight,tomato_Late blight,0.7825300693511963,50176,4206,0.6,8.38,0.1912,0.7237,0.1912,66,Moderate
04ddbde3-d33c-42bf-b849-dad24d64fd6f___RS_Erly.B 7664.JPG,tomato_Early blight,tomato_Early blight,0.9829586148262024,22802,6967,0.6,30.55,0.4825,0.76,0.4825,51,Moderate
04ddbde3-d33c-42bf-b849-dad24d64fd6f___RS_Erly.B 7664_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9992094039916992,50176,9379,0.6,18.69,0.402,0.7705,0.402,58,Moderate
04e38351-80bc-4260-8a4d-187f7817c3e5___RS_Erly.B 7439.JPG,tomato_Early blight,tomato_Early blight,0.9999994039535522,27013,9616,0.6,35.6,0.4907,0.7592,0.4907,48,Moderate
04e38351-80bc-4260-8a4d-187f7817c3e5___RS_Erly.B 7439_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999996423721313,50176,15320,0.6,30.53,0.4872,0.7773,0.4872,51,Moderate
055ae8d8-09e1-4b27-b385-9ff8a3e0eaae___RS_Erly.B 8247.JPG,tomato_Early blight,tomato_Early blight,0.9980633854866028,35537,13279,0.6,37.37,0.5546,0.7275,0.5546,48,Moderate
055ae8d8-09e1-4b27-b385-9ff8a3e0eaae___RS_Erly.B 8247_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.999937891960144,50176,30519,0.6,60.82,0.631,0.7326,0.631,34,Severe
05fab431-cc13-4d6d-b4e1-912e0059c7c1___RS_Erly.B 8349.JPG,tomato_Early blight,tomato_Early blight,0.9999935626983643,37592,9274,0.6,24.67,0.4224,0.7745,0.4224,54,Moderate
05fab431-cc13-4d6d-b4e1-912e0059c7c1___RS_Erly.B 8349_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9998459815979004,50176,12620,0.6,25.15,0.4167,0.7488,0.4167,55,Moderate
0621aab4-b9fd-4012-b0a6-ba72e63cd87d___RS_Erly.B 8220.JPG,tomato_Early blight,tomato_Late blight,0.9441747069358826,30688,5537,0.6,18.04,0.2897,0.7614,0.2897,59,Moderate
0621aab4-b9fd-4012-b0a6-ba72e63cd87d___RS_Erly.B 8220_final_masked.jpg,tomato_Early blight,tomato_Late blight,0.7249649167060852,50176,1987,0.6,3.96,0.1461,0.7294,0.1461,68,Moderate
06339fe1-154f-4bcb-be91-a29e86e25929___RS_Erly.B 7440.JPG,tomato_Early blight,tomato_Early blight,0.9555218815803528,22490,7396,0.6,32.89,0.4459,0.7726,0.4459,49,Moderate
06339fe1-154f-4bcb-be91-a29e86e25929___RS_Erly.B 7440_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9976986050605774,50176,17382,0.6,34.64,0.4384,0.7327,0.4384,50,Moderate
06d0298e-18e5-4bf5-8d33-8feef6600f15___RS_Erly.B 7573.JPG,tomato_Early blight,tomato_Early blight,0.7499164342880249,24440,6805,0.6,27.84,0.3401,0.7486,0.3401,53,Moderate
06d0298e-18e5-4bf5-8d33-8feef6600f15___RS_Erly.B 7573_final_masked.jpg,tomato_Early blight,tomato_healthy,0.9912692308425903,50176,8727,0.6,17.39,0.2647,0.7805,0.2647,99,Healthy
06d6d114-8d26-43eb-b79f-44218bbfa0d1___RS_Erly.B 9441.JPG,tomato_Early blight,tomato_Early blight,0.9999711513519287,26963,12241,0.6,45.4,0.5418,0.7716,0.5418,42,Moderate
06d6d114-8d26-43eb-b79f-44218bbfa0d1___RS_Erly.B 9441_final_masked.jpg,tomato_Early blight,tomato_Early blight,1.0,50176,20036,0.6,39.93,0.5737,0.7382,0.5737,47,Moderate
070679a9-27e1-4e6e-8072-29f3750d525b___RS_Erly.B 6439.JPG,tomato_Early blight,tomato_Late blight,0.5660197138786316,21420,2124,0.6,9.92,0.203,0.735,0.203,65,Moderate
070679a9-27e1-4e6e-8072-29f3750d525b___RS_Erly.B 6439_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9986823201179504,50176,13961,0.6,27.82,0.4086,0.7875,0.4086,52,Moderate
072ae43a-416b-434a-a5a2-1b48bc47fada___RS_Erly.B 7472.JPG,tomato_Early blight,tomato_Early blight,0.6893317699432373,32483,8134,0.6,25.04,0.3518,0.758,0.3518,55,Moderate
072ae43a-416b-434a-a5a2-1b48bc47fada___RS_Erly.B 7472_final_masked.jpg,tomato_Early blight,tomato_healthy,0.876476526260376,50176,6332,0.6,12.62,0.2458,0.7844,0.2458,99,Healthy
07324d80-17c5-4541-9702-62e9c744ac07___RS_Erly.B 7455.JPG,tomato_Early blight,tomato_Early blight,0.9977753758430481,24665,10941,0.6,44.36,0.5184,0.7935,0.5184,42,Moderate
07324d80-17c5-4541-9702-62e9c744ac07___RS_Erly.B 7455_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999969005584717,50176,14511,0.6,28.92,0.4711,0.7678,0.4711,52,Moderate
07409e2c-a730-4b11-b25e-31025bd63a91___RS_Erly.B 9578.JPG,tomato_Early blight,tomato_Early blight,0.9926882982254028,26407,10087,0.6,38.2,0.5204,0.7442,0.5204,47,Moderate
07409e2c-a730-4b11-b25e-31025bd63a91___RS_Erly.B 9578_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999665021896362,50176,22388,0.6,44.62,0.5676,0.7653,0.5676,43,Moderate
074bc781-f586-46b0-bef5-0237e3bf5043___RS_Erly.B 8375.JPG,tomato_Early blight,tomato_Late blight,0.9669163823127747,37810,20892,0.6,55.26,0.5945,0.7647,0.5945,36,Severe
074bc781-f586-46b0-bef5-0237e3bf5043___RS_Erly.B 8375_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.882792055606842,50176,10051,0.6,20.03,0.3476,0.7383,0.3476,58,Moderate
07502bbb-1733-4d49-a3dc-557b1d4391da___RS_Erly.B 7516.JPG,tomato_Early blight,tomato_Early blight,0.9917286038398743,24119,10518,0.6,43.61,0.4991,0.786,0.4991,42,Moderate
07502bbb-1733-4d49-a3dc-557b1d4391da___RS_Erly.B 7516_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9991462230682373,50176,15819,0.6,31.53,0.4563,0.7641,0.4563,51,Moderate
079e0d43-e9d2-4217-b8e8-2f3b989cdab2___RS_Erly.B 7588.JPG,tomato_Early blight,tomato_Early blight,0.9999998807907104,26015,11707,0.6,45.0,0.6074,0.7645,0.6074,42,Moderate
079e0d43-e9d2-4217-b8e8-2f3b989cdab2___RS_Erly.B 7588_final_masked.jpg,tomato_Early blight,tomato_Early blight,1.0,50176,19090,0.6,38.05,0.5264,0.7899,0.5264,46,Moderate
08615b7d-eca7-487e-a9ea-07842ecf81e8___RS_Erly.B 7543.JPG,tomato_Early blight,tomato_Early blight,0.9945991039276123,25685,8432,0.6,32.83,0.4757,0.7432,0.4757,51,Moderate
08615b7d-eca7-487e-a9ea-07842ecf81e8___RS_Erly.B 7543_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999319314956665,50176,17799,0.6,35.47,0.5513,0.7461,0.5513,49,Moderate
089243e5-f319-4ed2-b10c-603328ff4143___RS_Erly.B 9428.JPG,tomato_Early blight,tomato_Early blight,0.9992954730987549,25987,10079,0.6,38.78,0.4882,0.7601,0.4882,46,Moderate
089243e5-f319-4ed2-b10c-603328ff4143___RS_Erly.B 9428_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999990463256836,50176,13590,0.6,27.08,0.4501,0.7717,0.4501,53,Moderate
08fe6531-bb66-4e0a-98b3-4b86a794f9f9___RS_Erly.B 7483.JPG,tomato_Early blight,tomato_Early blight,0.9977182149887085,23317,7295,0.6,31.29,0.503,0.7383,0.503,52,Moderate
08fe6531-bb66-4e0a-98b3-4b86a794f9f9___RS_Erly.B 7483_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.92015540599823,50176,17337,0.6,34.55,0.4337,0.7313,0.4337,50,Moderate
090af0e4-75f2-495a-8bca-a3370c6dd2a6___RS_Erly.B 9562.JPG,tomato_Early blight,tomato_Early blight,0.7074243426322937,20843,3570,0.6,17.13,0.2752,0.7412,0.2752,60,Moderate
090af0e4-75f2-495a-8bca-a3370c6dd2a6___RS_Erly.B 9562_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.999459445476532,50176,19649,0.6,39.16,0.5285,0.7049,0.5285,48,Moderate
0982d864-182e-4d36-959a-dcc67d85d9e6___RS_Erly.B 9481.JPG,tomato_Early blight,tomato_Late blight,0.5942977070808411,25042,5193,0.6,20.74,0.2682,0.7849,0.2682,56,Moderate
0982d864-182e-4d36-959a-dcc67d85d9e6___RS_Erly.B 9481_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9302675724029541,50176,20760,0.6,41.37,0.4748,0.7838,0.4748,44,Moderate
0a2726e0-3358-4a46-b6dc-563a5a9f2bdf___RS_Erly.B 7860.JPG,tomato_Early blight,tomato_Late blight,0.7075484991073608,24048,9586,0.6,39.86,0.4832,0.7596,0.4832,46,Moderate
0a2726e0-3358-4a46-b6dc-563a5a9f2bdf___RS_Erly.B 7860_final_masked.jpg,tomato_Early blight,tomato_healthy,0.986478328704834,50176,6516,0.6,12.99,0.2413,0.7051,0.2413,99,Healthy
0abc57ec-7f3b-482a-8579-21f3b2fb780b___RS_Erly.B 7609.JPG,tomato_Early blight,tomato_Early blight,0.6962841153144836,25124,9112,0.6,36.27,0.4323,0.7575,0.4323,48,Moderate
0abc57ec-7f3b-482a-8579-21f3b2fb780b___RS_Erly.B 7609_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9882153272628784,50176,20159,0.6,40.18,0.4834,0.7858,0.4834,44,Moderate
0ae44a6c-1213-4312-a11b-c7c5d4e585d0___RS_Erly.B 9442.JPG,tomato_Early blight,tomato_Early blight,0.9822795987129211,25988,7784,0.6,29.95,0.4569,0.7649,0.4569,51,Moderate
0ae44a6c-1213-4312-a11b-c7c5d4e585d0___RS_Erly.B 9442_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999561309814453,50176,18165,0.6,36.2,0.4753,0.736,0.4753,49,Moderate
0b494c44-8cd0-4491-bdfd-8a354209c3ae___RS_Erly.B 9561.JPG,tomato_Early blight,tomato_Early blight,0.9940125346183777,30597,9840,0.6,32.16,0.4048,0.7707,0.4048,50,Moderate
0b494c44-8cd0-4491-bdfd-8a354209c3ae___RS_Erly.B 9561_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999666213989258,50176,15219,0.6,30.33,0.4681,0.8247,0.4681,49,Moderate
0ba3d536-8732-4ea1-b3e1-a1be86e5dc6a___RS_Erly.B 9499.JPG,tomato_Early blight,tomato_Late blight,0.5332303643226624,20905,4231,0.6,20.24,0.2232,0.8012,0.2232,56,Moderate
0ba3d536-8732-4ea1-b3e1-a1be86e5dc6a___RS_Erly.B 9499_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999967813491821,50176,19139,0.6,38.14,0.5261,0.7412,0.5261,47,Moderate
0bb52721-51a6-4343-8c54-de15cedf8e5c___RS_Erly.B 7572.JPG,tomato_Early blight,tomato_Early blight,0.9992207288742065,25355,9023,0.6,35.59,0.5216,0.7387,0.5216,49,Moderate
0bb52721-51a6-4343-8c54-de15cedf8e5c___RS_Erly.B 7572_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.8856545090675354,50176,11068,0.6,22.06,0.3668,0.7359,0.3668,57,Moderate
0bd357fe-1e54-4c65-979c-e894e0b8a3aa___RS_Erly.B 8328.JPG,tomato_Early blight,tomato_Late blight,0.7296850681304932,19787,5812,0.6,29.37,0.3818,0.7885,0.3818,51,Moderate
0bd357fe-1e54-4c65-979c-e894e0b8a3aa___RS_Erly.B 8328_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9578353762626648,50176,7235,0.6,14.42,0.2508,0.7516,0.2508,61,Moderate
0bed4d68-b82c-4e96-bbfe-e0fc10df01aa___RS_Erly.B 8301.JPG,tomato_Early blight,tomato_Early blight,0.6121910810470581,29862,726,0.6,2.43,0.1896,0.6947,0.1896,71,Mild
0bed4d68-b82c-4e96-bbfe-e0fc10df01aa___RS_Erly.B 8301_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9927167892456055,50176,28190,0.6,56.18,0.5438,0.7281,0.5438,37,Severe
0c221e01-a85e-4794-b45b-3a91e349a8d2___RS_Erly.B 6425.JPG,tomato_Early blight,tomato_Early blight,0.9926988482475281,24229,9678,0.6,39.94,0.4981,0.7686,0.4981,45,Moderate
0c221e01-a85e-4794-b45b-3a91e349a8d2___RS_Erly.B 6425_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9991981387138367,50176,9052,0.6,18.04,0.37,0.7527,0.37,59,Moderate
0c865fa4-b0bf-4e69-b39a-d97b068cef84___RS_Erly.B 7477.JPG,tomato_Early blight,tomato_Early blight,0.9317883253097534,28038,8937,0.6,31.87,0.4731,0.7449,0.4731,51,Moderate
0c865fa4-b0bf-4e69-b39a-d97b068cef84___RS_Erly.B 7477_final_masked.jpg,tomato_Early blight,tomato_healthy,0.7585448622703552,50176,2962,0.6,5.9,0.127,0.7178,0.127,99,Healthy
0cd17aff-13d8-439a-ac08-dae1aea55edb___RS_Erly.B 7828.JPG,tomato_Early blight,tomato_Early blight,0.7943265438079834,23881,4823,0.6,20.2,0.353,0.7195,0.353,59,Moderate
0cd17aff-13d8-439a-ac08-dae1aea55edb___RS_Erly.B 7828_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9581553339958191,50176,5207,0.6,10.38,0.2371,0.7778,0.2371,63,Moderate
0cd1ebaf-3975-4749-b625-50b7b0751c36___RS_Erly.B 7508.JPG,tomato_Early blight,tomato_Early blight,0.9922831654548645,21820,8514,0.6,39.02,0.5642,0.747,0.5642,47,Moderate
0cd1ebaf-3975-4749-b625-50b7b0751c36___RS_Erly.B 7508_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9993892908096313,50176,4935,0.6,9.84,0.3529,0.7229,0.3529,65,Moderate
0cd2270f-87f8-45b5-a4af-19fa34b2acaa___RS_Erly.B 9567.JPG,tomato_Early blight,tomato_Early blight,0.9806318283081055,29019,8180,0.6,28.19,0.349,0.7971,0.349,51,Moderate
0cd2270f-87f8-45b5-a4af-19fa34b2acaa___RS_Erly.B 9567_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9637418985366821,50176,10669,0.6,21.26,0.3384,0.7826,0.3384,56,Moderate
0d5f65a3-b32f-4565-b63a-c6da73c1322b___RS_Erly.B 8310.JPG,tomato_Early blight,tomato_Early blight,0.999995231628418,35799,14774,0.6,41.27,0.5173,0.7316,0.5173,46,Moderate
0d5f65a3-b32f-4565-b63a-c6da73c1322b___RS_Erly.B 8310_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9998517036437988,50176,21069,0.6,41.99,0.4675,0.7435,0.4675,45,Moderate
0db67be3-f733-4d15-b7d9-5d075b2cafc7___RS_Erly.B 6401.JPG,tomato_Early blight,tomato_Early blight,0.6856526136398315,19192,430,0.6,2.24,0.2146,0.6499,0.2146,73,Mild
0db67be3-f733-4d15-b7d9-5d075b2cafc7___RS_Erly.B 6401_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9574258327484131,50176,9262,0.6,18.46,0.364,0.7391,0.364,59,Moderate
0e03c87e-b43f-4cfe-a837-71306c68f4c0___RS_Erly.B 7733.JPG,tomato_Early blight,tomato_Early blight,0.5093103647232056,24423,5724,0.6,23.44,0.3794,0.8166,0.3794,53,Moderate
0e03c87e-b43f-4cfe-a837-71306c68f4c0___RS_Erly.B 7733_final_masked.jpg,tomato_Early blight,tomato_healthy,0.947766900062561,50176,8864,0.6,17.67,0.2895,0.769,0.2895,99,Healthy
0e2abcfb-e62b-4c61-a24a-0800cad904a8___RS_Erly.B 7382.JPG,tomato_Early blight,tomato_Early blight,0.8808059096336365,19615,5173,0.6,26.37,0.3773,0.7512,0.3773,54,Moderate
0e2abcfb-e62b-4c61-a24a-0800cad904a8___RS_Erly.B 7382_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9988486766815186,50176,10579,0.6,21.08,0.471,0.7429,0.471,58,Moderate
0e2e58b7-1417-49c4-b014-b5efb4b4b831___RS_Erly.B 8256.JPG,tomato_Early blight,tomato_Late blight,0.9974108338356018,34718,10073,0.6,29.01,0.3587,0.802,0.3587,51,Moderate
0e2e58b7-1417-49c4-b014-b5efb4b4b831___RS_Erly.B 8256_final_masked.jpg,tomato_Early blight,tomato_Late blight,0.6287609338760376,50176,4864,0.6,9.69,0.1614,0.7753,0.1614,63,Moderate
0e39c18a-9e04-4f6b-b557-dc0e944d22e5___RS_Erly.B 9501.JPG,tomato_Early blight,tomato_Early blight,0.7483330368995667,21830,6079,0.6,27.85,0.3798,0.7795,0.3798,52,Moderate
0e39c18a-9e04-4f6b-b557-dc0e944d22e5___RS_Erly.B 9501_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9995473027229309,50176,11596,0.6,23.11,0.445,0.7794,0.445,55,Moderate
0ecc2ee7-fb66-41fa-a23b-9bdeaf31078a___RS_Erly.B 6381.JPG,tomato_Early blight,tomato_Early blight,0.9999980926513672,30485,17598,0.6,57.73,0.6368,0.742,0.6368,36,Severe
0ecc2ee7-fb66-41fa-a23b-9bdeaf31078a___RS_Erly.B 6381_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999997615814209,50176,15207,0.6,30.31,0.5233,0.7022,0.5233,54,Moderate
0efaac13-1988-48db-aec3-f31df3045b95___RS_Erly.B 8342.JPG,tomato_Early blight,tomato_Late blight,0.515912652015686,38486,5072,0.6,13.18,0.2449,0.7111,0.2449,64,Moderate
0efaac13-1988-48db-aec3-f31df3045b95___RS_Erly.B 8342_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9625630378723145,50176,6527,0.6,13.01,0.2904,0.7838,0.2904,61,Moderate
0f03a09c-aa48-4d51-95e1-752c466c3742___RS_Erly.B 6413.JPG,tomato_Early blight,tomato_Early blight,0.7186017036437988,23733,4547,0.6,19.16,0.4638,0.7343,0.4638,59,Moderate
0f03a09c-aa48-4d51-95e1-752c466c3742___RS_Erly.B 6413_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9679292440414429,50176,16243,0.6,32.37,0.4396,0.7857,0.4396,49,Moderate
0f065614-a53a-4c83-9d29-5d3e4ab5b41d___RS_Erly.B 7676.JPG,tomato_Early blight,tomato_Early blight,0.9855484366416931,29912,11679,0.6,39.04,0.51,0.749,0.51,47,Moderate
0f065614-a53a-4c83-9d29-5d3e4ab5b41d___RS_Erly.B 7676_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999982118606567,50176,23287,0.6,46.41,0.5724,0.8066,0.5724,40,Moderate
0f111718-a749-42cf-9495-412f4b51acf0___RS_Erly.B 7482.JPG,tomato_Early blight,tomato_Early blight,0.9866657853126526,22313,11173,0.6,50.07,0.5358,0.7341,0.5358,41,Moderate
0f111718-a749-42cf-9495-412f4b51acf0___RS_Erly.B 7482_final_masked.jpg,tomato_Early blight,tomato_healthy,0.5092860460281372,50176,3807,0.6,7.59,0.1373,0.7542,0.1373,99,Healthy
0f12e22b-49a9-4d9a-84bc-76bb86ed2a14___RS_Erly.B 9572.JPG,tomato_Early blight,tomato_Early blight,0.9999998807907104,26271,16650,0.6,63.38,0.6491,0.7862,0.6491,31,Severe
0f12e22b-49a9-4d9a-84bc-76bb86ed2a14___RS_Erly.B 9572_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9998524188995361,50176,16244,0.6,32.37,0.5241,0.7208,0.5241,52,Moderate
0f1fb081-c715-414e-aa64-2c398ba6c320___RS_Erly.B 6382.JPG,tomato_Early blight,tomato_Early blight,0.999982476234436,25370,11959,0.6,47.14,0.5691,0.7007,0.5691,44,Moderate
0f1fb081-c715-414e-aa64-2c398ba6c320___RS_Erly.B 6382_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999979734420776,50176,17724,0.6,35.32,0.5056,0.7331,0.5056,49,Moderate
0f4e562d-77ee-47c2-8ee9-34b391bc0fc3___RS_Erly.B 9434.JPG,tomato_Early blight,tomato_Late blight,0.6280683875083923,25050,6043,0.6,24.12,0.3017,0.7899,0.3017,54,Moderate
0f4e562d-77ee-47c2-8ee9-34b391bc0fc3___RS_Erly.B 9434_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9996258020401001,50176,12691,0.6,25.29,0.3459,0.7405,0.3459,55,Moderate
0f7a2408-9c26-4ff9-bee5-2bfcd91a11f7___RS_Erly.B 9440.JPG,tomato_Early blight,tomato_Early blight,0.9901837706565857,23685,7959,0.6,33.6,0.4609,0.7585,0.4609,49,Moderate
