filename,physical_leaf_id,true_class,predicted_class,confidence,correct,error_type,brightness,contrast,saturation,sharpness,leaf_area_ratio
23e8ae15-6cfc-4518-9266-3a289a7bced7___RS_Erly.B 6479_final_masked.jpg,RS_Erly.B 6479,tomato_Early blight,tomato_Early blight,0.9649033,True,Correct Early Blight,31.039154052734375,43.282752810295094,72.03813171386719,425.43687436147593,0.369110107421875
3064e2fc-3a71-4a66-8cd1-dc76ebc0c2e6___RS_Erly.B 7345.JPG,RS_Erly.B 7345,tomato_Early blight,tomato_Early blight,0.72234,True,Correct Early Blight,103.49456787109375,35.239389121936945,45.254547119140625,3538.412922795862,0.99560546875
3064e2fc-3a71-4a66-8cd1-dc76ebc0c2e6___RS_Erly.B 7345_final_masked.jpg,RS_Erly.B 7345,tomato_Early blight,tomato_Early blight,0.78464687,True,Correct Early Blight,33.041900634765625,52.76639984487059,43.869598388671875,518.4310760495719,0.3092041015625
54e98d19-a7a0-44d8-a004-1eaee5f3610b___RS_Erly.B 7348.JPG,RS_Erly.B 7348,tomato_Early blight,tomato_Early blight,0.8410665,True,Correct Early Blight,115.18678283691406,43.37928396238032,53.27134704589844,507.63096618652344,0.9989471435546875
54e98d19-a7a0-44d8-a004-1eaee5f3610b___RS_Erly.B 7348_final_masked.jpg,RS_Erly.B 7348,tomato_Early blight,tomato_Early blight,0.8910288,True,Correct Early Blight,37.664703369140625,55.5865889301902,56.81190490722656,296.2361755138263,0.365386962890625
801083ae-26f9-4a9a-9e9a-f73fb18b67e5___RS_Erly.B 7363.JPG,RS_Erly.B 7363,tomato_Early blight,tomato_Early blight,0.98533,True,Correct Early Blight,147.92762756347656,43.32776609287162,48.91557312011719,625.8589937677607,1.0
801083ae-26f9-4a9a-9e9a-f73fb18b67e5___RS_Erly.B 7363_final_masked.jpg,RS_Erly.B 7363,tomato_Early blight,tomato_Early blight,0.9848791,True,Correct Early Blight,42.60887145996094,57.322472583356515,57.6016845703125,333.7495422363281,0.38629150390625
a9a349e8-bf20-4495-8db5-70ca9293608d___RS_Erly.B 7367_final_masked.jpg,RS_Erly.B 7367,tomato_Early blight,tomato_Early blight,0.96594983,True,Correct Early Blight,41.8172607421875,52.580521443495634,68.34431457519531,635.9294281003531,0.4425506591796875
40e8b878-dc2f-4cbd-ac31-c07f372bb0fa___RS_Erly.B 7369.JPG,RS_Erly.B 7369,tomato_Early blight,tomato_Early blight,0.9576209,True,Correct Early Blight,87.99018859863281,37.16676990218533,66.98490905761719,1901.9020992731676,0.9980926513671875
40e8b878-dc2f-4cbd-ac31-c07f372bb0fa___RS_Erly.B 7369_final_masked.jpg,RS_Erly.B 7369,tomato_Early blight,tomato_Early blight,0.89488995,True,Correct Early Blight,34.47840881347656,44.113317301160336,68.23904418945312,649.9452209435403,0.4351654052734375
61f57acc-088f-45e0-b0b5-860120082ae9___RS_Erly.B 7388.JPG,RS_Erly.B 7388,tomato_Early blight,tomato_Early blight,0.5909585,True,Correct Early Blight,111.90675354003906,39.12287232502248,45.12763977050781,1630.6506061404943,0.9999237060546875
61f57acc-088f-45e0-b0b5-860120082ae9___RS_Erly.B 7388_final_masked.jpg,RS_Erly.B 7388,tomato_Early blight,tomato_Early blight,0.54002845,True,Correct Early Blight,39.63410949707031,47.24540620489003,61.236846923828125,892.9163777751382,0.4655609130859375
e3b74c49-7e82-4094-8a02-5ae7644a1d00___RS_Erly.B 7393_final_masked.jpg,RS_Erly.B 7393,tomato_Early blight,tomato_Early blight,0.99863964,True,Correct Early Blight,31.912765502929688,44.16237300944253,69.0667724609375,353.9965515136719,0.399383544921875
c6e96373-484c-45da-b043-0a294a59ad2c___RS_Erly.B 7401_final_masked.jpg,RS_Erly.B 7401,tomato_Early blight,tomato_Early blight,0.9864985,True,Correct Early Blight,44.68927001953125,43.14198677115869,95.15306091308594,925.3604635798838,0.6126708984375
345b59b4-87fd-43a2-9783-fed3e492c4d7___RS_Erly.B 7402.JPG,RS_Erly.B 7402,tomato_Early blight,tomato_Early blight,0.99457115,True,Correct Early Blight,95.94174194335938,31.667907212346286,50.58619689941406,795.0095164738595,0.998687744140625
345b59b4-87fd-43a2-9783-fed3e492c4d7___RS_Erly.B 7402_final_masked.jpg,RS_Erly.B 7402,tomato_Early blight,tomato_Early blight,0.9827489,True,Correct Early Blight,32.055450439453125,48.14824838165373,53.606781005859375,797.1303252780344,0.3457183837890625
19427ace-5a24-4e30-8a4d-228ab4a3b99b___RS_Erly.B 7403.JPG,RS_Erly.B 7403,tomato_Early blight,tomato_Early blight,0.9017827,True,Correct Early Blight,96.78823852539062,41.83552192076201,55.50569152832031,1489.1704097054899,0.9961090087890625
19427ace-5a24-4e30-8a4d-228ab4a3b99b___RS_Erly.B 7403_final_masked.jpg,RS_Erly.B 7403,tomato_Early blight,tomato_Early blight,0.8595443,True,Correct Early Blight,21.801315307617188,35.038505936959986,55.43060302734375,366.3511962890625,0.3234710693359375
342d78c9-af97-4325-ad0f-0f12e0a206c2___RS_Erly.B 7406.JPG,RS_Erly.B 7406,tomato_Early blight,tomato_Early blight,0.99542576,True,Correct Early Blight,88.76608276367188,27.62806485776994,64.37620544433594,1429.5066206296906,0.9996795654296875
342d78c9-af97-4325-ad0f-0f12e0a206c2___RS_Erly.B 7406_final_masked.jpg,RS_Erly.B 7406,tomato_Early blight,tomato_Early blight,0.93555397,True,Correct Early Blight,61.66792297363281,59.17671506660491,66.93205261230469,1125.931343264645,0.5717315673828125
73cf82cf-a099-4243-a7a6-b06c79eedb65___RS_Erly.B 7412.JPG,RS_Erly.B 7412,tomato_Early blight,tomato_Early blight,0.9239979,True,Correct Early Blight,104.38522338867188,28.510865573041155,49.70173645019531,2214.6203368296847,0.9998626708984375
73cf82cf-a099-4243-a7a6-b06c79eedb65___RS_Erly.B 7412_final_masked.jpg,RS_Erly.B 7412,tomato_Early blight,tomato_Early blight,0.87620956,True,Correct Early Blight,36.138641357421875,50.92079599107842,50.56517028808594,634.3609161374625,0.3670654296875
29345423-647e-4e1b-81f4-16d8cfc0e137___RS_Erly.B 7422.JPG,RS_Erly.B 7422,tomato_Early blight,tomato_Early blight,0.95807767,True,Correct Early Blight,98.84034729003906,37.22753772858865,63.15608215332031,1205.2481505477335,0.99713134765625
29345423-647e-4e1b-81f4-16d8cfc0e137___RS_Erly.B 7422_final_masked.jpg,RS_Erly.B 7422,tomato_Early blight,tomato_Early blight,0.98279047,True,Correct Early Blight,38.415435791015625,50.044121973120625,68.56536865234375,790.764724712586,0.4288330078125
a8b2bbbc-5bef-4ef4-8322-48cde639a9aa___RS_Erly.B 7438_final_masked.jpg,RS_Erly.B 7438,tomato_Early blight,tomato_Early blight,0.9877609,True,Correct Early Blight,25.098220825195312,42.70039724706543,57.80873107910156,703.2049865722656,0.3005218505859375
3754ec0a-13b7-40c5-9839-b7499b6c365b___RS_Erly.B 7449.JPG,RS_Erly.B 7449,tomato_Early blight,tomato_Early blight,0.85441124,True,Correct Early Blight,104.52947998046875,40.87551572415824,51.255279541015625,1433.9791836282238,0.9908294677734375
3754ec0a-13b7-40c5-9839-b7499b6c365b___RS_Erly.B 7449_final_masked.jpg,RS_Erly.B 7449,tomato_Early blight,tomato_healthy,0.8384317,False,Early Blight -> Healthy,40.20594787597656,53.324936744522645,58.711761474609375,851.1730193810072,0.41217041015625
c10623b4-33fe-458c-9d8e-d9a74fb74a6a___RS_Erly.B 7450_final_masked.jpg,RS_Erly.B 7450,tomato_Early blight,tomato_Early blight,0.6245324,True,Correct Early Blight,33.191741943359375,45.28709089763347,57.616912841796875,968.1090690940619,0.3954010009765625
17a09abf-ee69-4d46-ac80-f8608d799b19___RS_Erly.B 7451.JPG,RS_Erly.B 7451,tomato_Early blight,tomato_Early blight,0.90704155,True,Correct Early Blight,92.14686584472656,38.26965812541258,48.86395263671875,1529.4199053754564,0.9933929443359375
17a09abf-ee69-4d46-ac80-f8608d799b19___RS_Erly.B 7451_final_masked.jpg,RS_Erly.B 7451,tomato_Early blight,tomato_Early blight,0.7148637,True,Correct Early Blight,31.73443603515625,44.502751661757685,53.446258544921875,590.6029357826337,0.38372802734375
3387fbf2-ee72-4601-b8de-c863eb96d181___RS_Erly.B 7452.JPG,RS_Erly.B 7452,tomato_Early blight,tomato_Early blight,0.6951258,True,Correct Early Blight,104.55062866210938,31.96991985228646,49.6177978515625,2891.9899324839935,0.999847412109375
3387fbf2-ee72-4601-b8de-c863eb96d181___RS_Erly.B 7452_final_masked.jpg,RS_Erly.B 7452,tomato_Early blight,tomato_Early blight,0.5317545,True,Correct Early Blight,39.03559875488281,50.43793956437117,65.40754699707031,507.41012569889426,0.409942626953125
fbc07887-0306-4f85-9de9-ebb68a87753a___RS_Erly.B 7456_final_masked.jpg,RS_Erly.B 7456,tomato_Early blight,tomato_Late blight,0.70175415,False,Early Blight -> Late Blight,52.6201171875,58.89929403422767,61.28071594238281,857.1568308137357,0.479644775390625
65bcbda1-eee5-4bab-ab07-128c2a2f8ed4___RS_Erly.B 7461.JPG,RS_Erly.B 7461,tomato_Early blight,tomato_Early blight,0.98194355,True,Correct Early Blight,101.32991027832031,40.25326202819353,56.966217041015625,581.5386553071439,0.9997711181640625
65bcbda1-eee5-4bab-ab07-128c2a2f8ed4___RS_Erly.B 7461_final_masked.jpg,RS_Erly.B 7461,tomato_Early blight,tomato_Early blight,0.85008603,True,Correct Early Blight,33.61143493652344,47.087338432463554,58.70172119140625,520.0083618080243,0.3878631591796875
8a089fe7-9e6a-4db7-b0e8-9792e4abc326___RS_Erly.B 7466.JPG,RS_Erly.B 7466,tomato_Early blight,tomato_Late blight,0.7352406,False,Early Blight -> Late Blight,98.24417114257812,43.67904276022113,0.0,1549.1750790094957,0.9893798828125
8a089fe7-9e6a-4db7-b0e8-9792e4abc326___RS_Erly.B 7466_final_masked.jpg,RS_Erly.B 7466,tomato_Early blight,tomato_Early blight,0.5059825,True,Correct Early Blight,17.160720825195312,33.38727064037159,47.89897155761719,363.021240234375,0.238494873046875
4e3c2c95-69ca-41d4-9b08-4e0bb7f425eb___RS_Erly.B 7469.JPG,RS_Erly.B 7469,tomato_Early blight,tomato_Late blight,0.91937506,False,Early Blight -> Late Blight,104.4652099609375,45.17679853188672,65.80734252929688,1002.5247815565672,0.991912841796875
4e3c2c95-69ca-41d4-9b08-4e0bb7f425eb___RS_Erly.B 7469_final_masked.jpg,RS_Erly.B 7469,tomato_Early blight,tomato_Early blight,0.99202967,True,Correct Early Blight,29.546478271484375,47.08482699375669,68.0706787109375,438.4895477013197,0.318389892578125
072ae43a-416b-434a-a5a2-1b48bc47fada___RS_Erly.B 7472.JPG,RS_Erly.B 7472,tomato_Early blight,tomato_Early blight,0.7928578,True,Correct Early Blight,97.86689758300781,35.809268494877024,63.84698486328125,2362.0032773425337,0.9983367919921875
072ae43a-416b-434a-a5a2-1b48bc47fada___RS_Erly.B 7472_final_masked.jpg,RS_Erly.B 7472,tomato_Early blight,tomato_Early blight,0.90310615,True,Correct Early Blight,65.56655883789062,59.258283420172354,79.72627258300781,1835.281776956981,0.62066650390625
afc527c5-c9b2-478b-8df0-ff66767191df___RS_Erly.B 7473_final_masked.jpg,RS_Erly.B 7473,tomato_Early blight,tomato_Early blight,0.98982704,True,Correct Early Blight,32.09263610839844,45.4314549524161,53.35569763183594,700.265424353769,0.3981781005859375
e9e56650-8172-4a98-8100-72e79a3a5858___RS_Erly.B 7481_final_masked.jpg,RS_Erly.B 7481,tomato_Early blight,tomato_Early blight,0.8676505,True,Correct Early Blight,39.79351806640625,54.111904173818985,60.229278564453125,638.8537749962416,0.416351318359375
a1d275d1-5405-4829-9328-4225ffe69506___RS_Erly.B 7515_final_masked.jpg,RS_Erly.B 7515,tomato_Early blight,tomato_Early blight,0.9789726,True,Correct Early Blight,44.410552978515625,54.535169493022494,72.08781433105469,434.2740765751805,0.489288330078125
579c6b36-c17e-4510-a1ba-31cabbb0951f___RS_Erly.B 7517.JPG,RS_Erly.B 7517,tomato_Early blight,tomato_Early blight,0.8618132,True,Correct Early Blight,98.8858642578125,40.3037887769922,75.65023803710938,1367.7237249463797,0.9986572265625
579c6b36-c17e-4510-a1ba-31cabbb0951f___RS_Erly.B 7517_final_masked.jpg,RS_Erly.B 7517,tomato_Early blight,tomato_Early blight,0.5377137,True,Correct Early Blight,57.00718688964844,56.416468843516505,81.06788635253906,1083.2024535536766,0.575469970703125
fbe86131-6873-460e-880a-6ee8576b6bc9___RS_Erly.B 7551_final_masked.jpg,RS_Erly.B 7551,tomato_Early blight,tomato_Early blight,0.875584,True,Correct Early Blight,38.0255126953125,51.95481249356069,51.500091552734375,735.0608287749346,0.4016571044921875
10c1d7a4-bd14-4961-9b96-c7047589eccd___RS_Erly.B 7552.JPG,RS_Erly.B 7552,tomato_Early blight,tomato_Early blight,0.72046256,True,Correct Early Blight,161.41201782226562,46.59225347986201,36.16322326660156,1087.391903518699,0.999969482421875
10c1d7a4-bd14-4961-9b96-c7047589eccd___RS_Erly.B 7552_final_masked.jpg,RS_Erly.B 7552,tomato_Early blight,tomato_Late blight,0.6001401,False,Early Blight -> Late Blight,54.510009765625,66.40781930976517,54.552734375,546.7394025586545,0.4389495849609375
d98cdabc-9183-4829-aa46-d40538d25462___RS_Erly.B 7554_final_masked.jpg,RS_Erly.B 7554,tomato_Early blight,tomato_Early blight,0.9393924,True,Correct Early Blight,52.90971374511719,52.150486964676766,88.4700927734375,412.00283949053846,0.5883026123046875
71eb9b0a-a7ea-47a0-8108-71949d74e22d___RS_Erly.B 7557.JPG,RS_Erly.B 7557,tomato_Early blight,tomato_Early blight,0.9898816,True,Correct Early Blight,93.06541442871094,26.564097656555333,46.2750244140625,1070.6086876501795,0.999359130859375
71eb9b0a-a7ea-47a0-8108-71949d74e22d___RS_Erly.B 7557_final_masked.jpg,RS_Erly.B 7557,tomato_Early blight,tomato_Early blight,0.9166647,True,Correct Early Blight,35.43408203125,48.72985724728657,53.0584716796875,512.2545166015625,0.38311767578125
40b67c0a-5dd8-435c-80ed-764593d2147a___RS_Erly.B 7577.JPG,RS_Erly.B 7577,tomato_Early blight,tomato_Early blight,0.9920745,True,Correct Early Blight,92.6715087890625,34.15798378803687,58.6771240234375,3252.6124959213194,0.999420166015625
40b67c0a-5dd8-435c-80ed-764593d2147a___RS_Erly.B 7577_final_masked.jpg,RS_Erly.B 7577,tomato_Early blight,tomato_Early blight,0.9739683,True,Correct Early Blight,47.249359130859375,44.88463792474197,78.62728881835938,1102.9904740443453,0.5826263427734375
079e0d43-e9d2-4217-b8e8-2f3b989cdab2___RS_Erly.B 7588.JPG,RS_Erly.B 7588,tomato_Early blight,tomato_Early blight,0.9914067,True,Correct Early Blight,106.89335632324219,44.751629790964,52.125244140625,768.0773315345868,0.999359130859375
079e0d43-e9d2-4217-b8e8-2f3b989cdab2___RS_Erly.B 7588_final_masked.jpg,RS_Erly.B 7588,tomato_Early blight,tomato_Early blight,0.97928464,True,Correct Early Blight,39.556884765625,52.00089878385294,70.305419921875,499.1561274789274,0.4318389892578125
a3af61fe-3cde-4083-963f-909bfced23db___RS_Erly.B 7590_final_masked.jpg,RS_Erly.B 7590,tomato_Early blight,tomato_Late blight,0.8403895,False,Early Blight -> Late Blight,25.86151123046875,43.86185914112387,57.61009216308594,335.4729003868997,0.307220458984375
73f4d791-745e-49b8-82d8-e29b24ddd0e5___RS_Erly.B 7593.JPG,RS_Erly.B 7593,tomato_Early blight,tomato_Early blight,0.9766643,True,Correct Early Blight,111.3619384765625,24.741920098454855,44.12376403808594,367.4896977429744,0.999755859375
73f4d791-745e-49b8-82d8-e29b24ddd0e5___RS_Erly.B 7593_final_masked.jpg,RS_Erly.B 7593,tomato_Early blight,tomato_Late blight,0.9674797,False,Early Blight -> Late Blight,48.54570007324219,59.92110814885276,54.186920166015625,430.49562071613036,0.4269256591796875
a67b9ba1-99ff-4826-8f7b-1b89ca61980e___RS_Erly.B 7597_final_masked.jpg,RS_Erly.B 7597,tomato_Early blight,tomato_Late blight,0.84222454,False,Early Blight -> Late Blight,5.685760498046875,18.451243120072892,41.90263366699219,126.58961394405924,0.090667724609375
f870ea24-aac9-41cd-92a3-72f87d395c33___RS_Erly.B 7598_final_masked.jpg,RS_Erly.B 7598,tomato_Early blight,tomato_Late blight,0.8696877,False,Early Blight -> Late Blight,4.1054534912109375,19.21389603453292,24.066116333007812,89.91723632719368,1.0
3f35dad7-734b-46ee-8193-09fd3c8562ff___RS_Erly.B 7600.JPG,RS_Erly.B 7600,tomato_Early blight,tomato_Late blight,0.76935893,False,Early Blight -> Late Blight,95.90499877929688,40.44263540447718,32.42997741699219,914.0725180560257,0.977264404296875
3f35dad7-734b-46ee-8193-09fd3c8562ff___RS_Erly.B 7600_final_masked.jpg,RS_Erly.B 7600,tomato_Early blight,tomato_Late blight,0.9976428,False,Early Blight -> Late Blight,3.9915618896484375,21.22909139597098,16.082046508789062,119.19244381412864,1.0
e330dc16-fdf9-4eee-8b09-88bfb5537180___RS_Erly.B 7601_final_masked.jpg,RS_Erly.B 7601,tomato_Early blight,tomato_Late blight,0.9635243,False,Early Blight -> Late Blight,40.19273376464844,62.87173369458923,58.92103576660156,292.9753875674214,0.3307037353515625
bd0f06fb-1f9a-4de8-8c96-926d312cea27___RS_Erly.B 7603_final_masked.jpg,RS_Erly.B 7603,tomato_Early blight,tomato_Late blight,0.9812026,False,Early Blight -> Late Blight,46.005950927734375,63.17943604451424,67.31256103515625,757.3692016452551,0.404083251953125
a52492e3-7916-4a13-a175-6a6c0dd3440a___RS_Erly.B 7613_final_masked.jpg,RS_Erly.B 7613,tomato_Early blight,tomato_Early blight,0.96261585,True,Correct Early Blight,35.91401672363281,53.18076784579344,47.97038269042969,607.5803833007812,0.34271240234375
268590f4-68f6-4de9-968e-a7465b377db4___RS_Erly.B 7614.JPG,RS_Erly.B 7614,tomato_Early blight,tomato_Early blight,0.97187054,True,Correct Early Blight,109.07182312011719,45.014568925361225,48.98316955566406,1326.4642438730225,0.9913177490234375
268590f4-68f6-4de9-968e-a7465b377db4___RS_Erly.B 7614_final_masked.jpg,RS_Erly.B 7614,tomato_Early blight,tomato_Early blight,0.5048874,True,Correct Early Blight,37.17677307128906,53.69739134349728,54.3411865234375,659.454763174057,0.3920745849609375
99baac4a-7079-4c68-b2bf-c9cf123ddffc___RS_Erly.B 7619.JPG,RS_Erly.B 7619,tomato_Early blight,tomato_Early blight,0.85678,True,Correct Early Blight,102.5980224609375,44.918939154015554,0.0,269.8970579467714,0.9952392578125
99baac4a-7079-4c68-b2bf-c9cf123ddffc___RS_Erly.B 7619_final_masked.jpg,RS_Erly.B 7619,tomato_Early blight,tomato_Early blight,0.82349837,True,Correct Early Blight,21.149856567382812,42.82534508394552,36.42140197753906,164.18597412109375,0.2283477783203125
ad567130-1714-4f31-9735-9ffe4b373964___RS_Erly.B 7623_final_masked.jpg,RS_Erly.B 7623,tomato_Early blight,tomato_Late blight,0.71469223,False,Early Blight -> Late Blight,28.625640869140625,56.48390217875176,49.73951721191406,396.2512096033897,0.2303466796875
fe856320-407c-4390-9960-a6a539371182___RS_Erly.B 7624_final_masked.jpg,RS_Erly.B 7624,tomato_Early blight,tomato_Late blight,0.6281696,False,Early Blight -> Late Blight,17.816558837890625,34.777223019407494,57.409515380859375,482.2776396125555,0.248687744140625
503785a3-9eaa-4887-b832-2288f747624a___RS_Erly.B 7636.JPG,RS_Erly.B 7636,tomato_Early blight,tomato_Early blight,0.9986532,True,Correct Early Blight,110.48832702636719,42.753815253403474,41.67829895019531,1966.3986975026783,0.995819091796875
503785a3-9eaa-4887-b832-2288f747624a___RS_Erly.B 7636_final_masked.jpg,RS_Erly.B 7636,tomato_Early blight,tomato_Early blight,0.99831104,True,Correct Early Blight,40.348114013671875,56.01530902964135,51.90948486328125,800.2411193838343,0.38690185546875
ca408b6b-bc8b-45a0-a04e-f0341169524c___RS_Erly.B 7640_final_masked.jpg,RS_Erly.B 7640,tomato_Early blight,tomato_Early blight,0.8758188,True,Correct Early Blight,57.61949157714844,59.87833457519772,60.22569274902344,393.9712218781933,0.5325775146484375
18a21f42-8794-4665-8174-b0ccd3758af8___RS_Erly.B 7650.JPG,RS_Erly.B 7650,tomato_Early blight,tomato_Early blight,0.9726802,True,Correct Early Blight,105.27223205566406,45.48581048529054,48.03617858886719,1248.987613335019,0.991790771484375
18a21f42-8794-4665-8174-b0ccd3758af8___RS_Erly.B 7650_final_masked.jpg,RS_Erly.B 7650,tomato_Early blight,tomato_Late blight,0.82814765,False,Early Blight -> Late Blight,23.1455078125,41.43696650281023,57.824615478515625,312.89395141229033,0.2768402099609375
